chunk_id,document_id,token_count,vector_index,vector_dimension,vector_norm,finite,device,model,model_revision,selection_reason
DOC000002-C0001,DOC000002,221,0,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,short
DOC000002-C0007,DOC000002,229,1,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,short
DOC000002-C0042,DOC000002,184,2,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,short
DOC000002-C0045,DOC000002,161,3,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,short
DOC000002-C0046,DOC000002,219,4,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,short
DOC000002-C0058,DOC000002,192,5,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,short
DOC000003-C0016,DOC000003,237,6,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,short
DOC000003-C0067,DOC000003,100,7,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,short
DOC000087-C0368,DOC000087,973,8,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,median_sized
DOC000201-C0026,DOC000201,973,9,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,median_sized
DOC000021-C0022,DOC000021,972,10,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,median_sized
DOC000047-C0098,DOC000047,974,11,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,median_sized
DOC000047-C0252,DOC000047,974,12,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,median_sized
DOC000071-C0029,DOC000071,974,13,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,median_sized
DOC000072-C0060,DOC000072,972,14,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,median_sized
DOC000087-C0179,DOC000087,972,15,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,median_sized
DOC000124-C0002,DOC000124,1519,16,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,p90_sized
DOC000198-C0048,DOC000198,1519,17,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,p90_sized
DOC000201-C0052,DOC000201,1519,18,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,p90_sized
DOC000206-C0010,DOC000206,1519,19,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,p90_sized
DOC000236-C0070,DOC000236,1519,20,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,p90_sized
DOC000236-C0310,DOC000236,1519,21,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,p90_sized
DOC000266-C0015,DOC000266,1519,22,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,p90_sized
DOC000072-C0015,DOC000072,1520,23,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,p90_sized
DOC000177-C0030,DOC000177,5176,24,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,longest_safe
DOC000007-C0008,DOC000007,4742,25,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,longest_safe
DOC000007-C0001,DOC000007,4667,26,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,longest_safe
DOC000007-C0007,DOC000007,4545,27,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,longest_safe
DOC000007-C0009,DOC000007,4148,28,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,longest_safe
DOC000007-C0005,DOC000007,4142,29,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,longest_safe
DOC000176-C0003,DOC000176,4121,30,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,longest_safe
DOC000206-C0003,DOC000206,4121,31,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,longest_safe
DOC000036-C0001,DOC000036,563,32,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,turkish
DOC000036-C0002,DOC000036,390,33,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,turkish
DOC000036-C0003,DOC000036,61,34,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,turkish
DOC000036-C0004,DOC000036,18,35,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,turkish
DOC000036-C0005,DOC000036,1036,36,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,turkish
DOC000036-C0006,DOC000036,158,37,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,turkish
DOC000036-C0007,DOC000036,17,38,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,turkish
DOC000036-C0008,DOC000036,738,39,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,turkish
DOC000001-C0001,DOC000001,511,40,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,english
DOC000001-C0002,DOC000001,1378,41,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,english
DOC000001-C0003,DOC000001,437,42,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,english
DOC000001-C0004,DOC000001,1107,43,1024,1.000000,1,mps,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,english
