document_id,source_sha256,normalized_sha256,chunk_count,min_tokens,max_tokens,mean_tokens,page_resolved_chunks,slide_resolved_chunks,section_resolved_chunks,source_only_chunks,table_chunks,formula_chunks,image_chunks,warning_count,chunker_version
DOC000001,1980884f21bd5c134c8e603a62bc715204b58c5d43382eb7b89a5779e380e1c7,82d7966e3c65f8118d8734b7ff0a079179f8e8112a27004ad2347012237a609b,17,305,1165,788.06,17,0,0,0,11,1,7,0,semantic-markdown-v1.1
DOC000002,a9dc4c909c9d5972c9b348bc14fa59991b7d0d4e8eb79cd73b9d771cb26ef49b,0cf0e737377f48264fd0a30b069e996529dd38665d51905ef196782e5ce4590b,71,152,1935,833.34,71,0,0,0,38,0,13,10,semantic-markdown-v1.1
DOC000003,e4e696e67dc8f1675451c38298acc0ee645ade4b74d8dea722d77cd210551d15,898eccc0235789c983eedb845afd9f00fb1010d6e99a82ff4c3190b1c48cf378,227,7,2197,765.67,227,0,0,0,101,0,16,8,semantic-markdown-v1.1
DOC000004,77cf2eb068cd0f71b6f6069617f35886b8f6fb4f66e7f4d78aae7b8de6935a72,e87f565e311f7a1b48f4abfe5b95916475461022b3821981db4c7a765bfaab93,7,527,988,834.14,7,0,0,0,2,0,1,0,semantic-markdown-v1.1
DOC000005,88542183b3fa42e9a11933065239cd73839b62ba311a4c1705f13390b5561285,30830a127192f5ef6298e04f8f085ed0c5d6b16ae5a9b14f459d3ebab0500481,12,195,1196,736.83,12,0,0,0,2,1,8,0,semantic-markdown-v1.1
DOC000006,197ca69742a7143371e57de84424bf6efb817fc1e24298cd742ead68da45b06b,6fde4c1334506d17ac7a61f84e0110f3fead7eeeea1b7de9a7e3091e0ec5b415,5,122,1260,684.00,5,0,0,0,2,0,0,0,semantic-markdown-v1.1
DOC000007,f7364cfe35d103c795f3d2e5f31ce0dba9e072a5a7e070766682abe73f365b83,dc0416ea4c7e5f2772763eec5a1e15474eda6298fa64e77c5cb38b4108360aed,16,30,3017,1733.44,16,0,0,0,15,0,0,18,semantic-markdown-v1.1
DOC000009,a11326648f705babf4f9c91a9092d8833da40a7faf35e15ec6495b13fd30a412,e0e4cd5a1cf90f9dab55cf74f1d8a4ef316f43b1155123966b65887ca7735095,6,16,1202,842.50,0,0,6,0,0,0,0,0,semantic-markdown-v1.1
DOC000010,279425daaab3228f6b723aecfc8557456a726e6e3db8934acffd1855a19ed9e4,aa7da8bdcd4604dd81220c6c10ab2ca4a4f96a8a748b6b49f9ab56f28578919e,2,451,945,698.00,2,0,0,0,0,0,2,0,semantic-markdown-v1.1
DOC000011,132bdd29ff845933c0d02d8d129b902bc6e6a696d01dee2b9645f09f7e94fd2d,76ccc29cd4211439cee953a6e00b80ea50611bbb60bbfcf5192004e981b3e7df,24,231,1297,703.50,24,0,0,0,10,1,9,0,semantic-markdown-v1.1
DOC000012,3cf8e7e534d4363e9c7cd595883bdba4d4e935a1e04a3ac728ad87b2f0e47f4a,2e139ccada32e0232a95ed30e318c8cec62051250962d9e22ce1c5d12d8ca755,3,174,1198,850.67,0,0,0,3,0,0,0,0,semantic-markdown-v1.1
DOC000013,e9bce09c7035ac5c141dea236fcfd694e507faf2ccba90f6e0e21f29b3ecaa4f,a73af3d7edda943814a29e449d94c96503591d9d9c14db778d80f7a734b2d4ca,17,340,1422,851.06,17,0,0,0,5,5,5,0,semantic-markdown-v1.1
DOC000014,e36fdb6f7e102b86f58200ae2e89f5c300a92555e560afdd6339510ae519af28,10ca03dea72453361686a769408210182ad53a9dfabfe4b5dd5e598a52f5316e,7,266,1133,744.00,7,0,0,0,1,1,5,0,semantic-markdown-v1.1
DOC000015,b6a2b2e47753afe8699c10da551fe4afc311dcac8f4504a34c8e83d71fd157c8,7cce6b2e8d9ce7bc68f6be5ba918d5c0fc691bd435f0815051bdceaf61b5f772,132,81,3551,928.14,132,0,0,0,36,4,59,16,semantic-markdown-v1.1
DOC000016,376b6902031fe537a68c4606bbc954db0a2583e517f679e65b8aeded512e39cd,79618ec4731594b90900ec524549b6931f2cde11f12f59dcdca8f8eadd5dd4bc,6,328,971,778.67,6,0,0,0,2,0,2,0,semantic-markdown-v1.1
DOC000017,046493eef6fb4c973116c6e2a44114ce27376a2cb6b3f8eaf3fe750885c8f5f4,74028149032f4ddb91abefdcf76b898490fa086f3ff59d190327f426f26947ef,3,689,905,809.00,0,0,3,0,2,1,2,0,semantic-markdown-v1.1
DOC000018,fe0cf79aab020b9dbf9747771619dc0aabe44dfd82d98aa47cae335893e49886,9cdf06e3087c372302352303aa054215a007e294d9a94164e84181e8e44ce6d8,8,361,1109,792.75,8,0,0,0,3,0,4,0,semantic-markdown-v1.1
DOC000019,fcafb5c9434d660130bf7645d163a6f1f1b387dc744013ce1c27638da1cfc856,a6eddd2fa784e331f74301f452c719b6606a0189c05460b4275e752f71404f43,10,3,4588,1108.30,10,0,0,0,7,0,1,2,semantic-markdown-v1.1
DOC000020,6935929ec3c5b865ccdbc939924945c3b5a05459da955ce7417a6f72c076f16e,89220272730a2874134d5872a4dd8d6e2e368a6627a763775044c67bf8bcab3a,2,189,914,551.50,2,0,0,0,1,0,2,0,semantic-markdown-v1.1
DOC000021,3b8ddd107873155e0aeb2cadc12651707e75ab95a0d2855fb4100996fae4955e,b9b9c8ad0d2cfad27db140c6e374ce662fc9f6bd4c5055341d7cbb69faf41596,26,127,1497,790.81,26,0,0,0,0,0,15,0,semantic-markdown-v1.1
DOC000022,d6dcf36edb910eeb6c788624fca68a67c39638a2d0c255a05fa673df31db7cc3,d689b848f2921ffd04e825cce3c95e20b5c0bb5c79fc3956f5a7aadbcb2eefac,2,353,971,662.00,2,0,0,0,0,0,1,0,semantic-markdown-v1.1
DOC000023,69d7dba96886fbecd37b45962e192ea54cd8024f239786977caadf0e25fef04e,a7f20f4cf549a644e2a9f45232a7137158428edb3e6dc8f068b90ba043fc79db,1,323,323,323.00,0,0,0,1,0,0,0,0,semantic-markdown-v1.1
DOC000024,28bb46527ab1a9bdd8654fbf5185fe923f9d7b5d76b58fb0120b189100924396,4480f6a9622f97b79d53a9580cd1d47acfb86d34e5f2e7f43434f4810f32236c,4,520,992,852.25,4,0,0,0,1,0,4,0,semantic-markdown-v1.1
DOC000025,2879f22960b2b823d22e703752762a07051ec43416aa503908de1b0f066b9644,b999133e133fa87baafbc1782769b7499bc455f86081f33f38308f64c8446851,5,385,992,748.00,5,0,0,0,0,0,3,0,semantic-markdown-v1.1
