chunk_id,document_id,bge_m3_token_count,eligibility_status,quality_reason,glyph_sequence_count,control_character_count,real_word_count,contains_table,document_type,provenance_status,recovery_status,replacement_chunk_id
DOC000306-C0001,DOC000306,1013,eligible,,0,0,295,0,,source_only,,
DOC000001-C0001,DOC000001,511,eligible,,0,0,182,0,,page_resolved,,
DOC000001-C0002,DOC000001,1378,eligible,,0,4,736,0,,page_resolved,,
DOC000001-C0003,DOC000001,437,eligible,,0,0,245,0,,page_resolved,,
DOC000001-C0004,DOC000001,1107,eligible,,0,8,419,1,,page_resolved,,
DOC000001-C0005,DOC000001,584,eligible,,0,0,226,1,,page_resolved,,
DOC000001-C0006,DOC000001,818,eligible,,0,0,252,1,,page_resolved,,
DOC000001-C0007,DOC000001,952,eligible,,0,0,437,1,,page_resolved,,
DOC000001-C0008,DOC000001,1125,eligible,,0,0,437,1,,page_resolved,,
DOC000001-C0009,DOC000001,450,eligible,,0,0,109,1,,page_resolved,,
DOC000001-C0010,DOC000001,732,eligible,,0,0,258,1,,page_resolved,,
DOC000001-C0011,DOC000001,981,eligible,,0,0,335,1,,page_resolved,,
DOC000001-C0012,DOC000001,822,eligible,,0,0,213,1,,page_resolved,,
DOC000001-C0013,DOC000001,1102,eligible,,0,0,499,1,,page_resolved,,
DOC000001-C0014,DOC000001,662,eligible,,0,0,181,1,,page_resolved,,
DOC000001-C0015,DOC000001,527,eligible,,0,0,324,0,,page_resolved,,
DOC000001-C0016,DOC000001,1474,eligible,,0,0,457,0,,page_resolved,,
DOC000001-C0017,DOC000001,403,eligible,,0,0,112,0,,page_resolved,,
DOC000002-C0001,DOC000002,221,eligible,,0,0,63,0,book_or_book_chapter,page_resolved,,
DOC000002-C0002,DOC000002,783,eligible,,0,0,306,1,book_or_book_chapter,page_resolved,,
DOC000002-C0003,DOC000002,766,eligible,,0,0,275,1,book_or_book_chapter,page_resolved,,
DOC000002-C0004,DOC000002,764,eligible,,0,0,374,0,book_or_book_chapter,page_resolved,,
DOC000002-C0005,DOC000002,677,eligible,,0,0,235,1,book_or_book_chapter,page_resolved,,
DOC000002-C0006,DOC000002,940,eligible,,0,0,392,1,book_or_book_chapter,page_resolved,,
DOC000002-C0007,DOC000002,229,eligible,,0,0,117,0,book_or_book_chapter,page_resolved,,
DOC000002-C0008,DOC000002,1001,eligible,,0,0,106,1,book_or_book_chapter,page_resolved,,
DOC000002-C0009,DOC000002,813,eligible,,0,0,20,1,book_or_book_chapter,page_resolved,,
DOC000002-C0010,DOC000002,841,eligible,,0,0,439,0,book_or_book_chapter,page_resolved,,
DOC000002-C0011,DOC000002,500,eligible,,0,0,269,0,book_or_book_chapter,page_resolved,,
DOC000002-C0012,DOC000002,1096,eligible,,0,0,583,0,book_or_book_chapter,page_resolved,,
DOC000002-C0013,DOC000002,1111,eligible,,0,0,618,0,book_or_book_chapter,page_resolved,,
DOC000002-C0014,DOC000002,764,eligible,,0,0,349,1,book_or_book_chapter,page_resolved,,
DOC000002-C0015,DOC000002,527,eligible,,0,0,267,0,book_or_book_chapter,page_resolved,,
DOC000002-C0016,DOC000002,673,eligible,,0,0,208,0,book_or_book_chapter,page_resolved,,
DOC000002-C0017,DOC000002,1129,eligible,,0,0,177,1,book_or_book_chapter,page_resolved,,
DOC000002-C0018,DOC000002,1258,eligible,,0,0,184,1,book_or_book_chapter,page_resolved,,
DOC000002-C0019,DOC000002,361,eligible,,0,0,151,0,book_or_book_chapter,page_resolved,,
DOC000002-C0020,DOC000002,672,eligible,,0,0,129,1,book_or_book_chapter,page_resolved,,
DOC000002-C0021,DOC000002,891,eligible,,0,0,137,1,book_or_book_chapter,page_resolved,,
DOC000002-C0022,DOC000002,316,eligible,,0,0,84,1,book_or_book_chapter,page_resolved,,
DOC000002-C0023,DOC000002,778,eligible,,0,0,174,1,book_or_book_chapter,page_resolved,,
DOC000002-C0024,DOC000002,963,eligible,,0,0,459,1,book_or_book_chapter,page_resolved,,
DOC000002-C0025,DOC000002,724,eligible,,0,0,178,1,book_or_book_chapter,page_resolved,,
DOC000002-C0026,DOC000002,1039,eligible,,0,0,433,1,book_or_book_chapter,page_resolved,,
DOC000002-C0027,DOC000002,1175,eligible,,0,0,614,0,book_or_book_chapter,page_resolved,,
DOC000002-C0028,DOC000002,1027,eligible,,0,0,536,0,book_or_book_chapter,page_resolved,,
DOC000002-C0029,DOC000002,680,eligible,,0,0,328,0,book_or_book_chapter,page_resolved,,
DOC000002-C0030,DOC000002,881,eligible,,0,0,391,0,book_or_book_chapter,page_resolved,,
DOC000002-C0031,DOC000002,1098,eligible,,0,0,619,0,book_or_book_chapter,page_resolved,,
DOC000002-C0032,DOC000002,1112,eligible,,0,0,638,0,book_or_book_chapter,page_resolved,,
DOC000002-C0033,DOC000002,1081,eligible,,0,0,568,0,book_or_book_chapter,page_resolved,,
DOC000002-C0034,DOC000002,1084,eligible,,0,0,516,0,book_or_book_chapter,page_resolved,,
DOC000002-C0035,DOC000002,1117,eligible,,0,0,615,0,book_or_book_chapter,page_resolved,,
DOC000002-C0036,DOC000002,338,eligible,,0,0,191,0,book_or_book_chapter,page_resolved,,
DOC000002-C0037,DOC000002,917,eligible,,0,0,504,0,book_or_book_chapter,page_resolved,,
DOC000002-C0038,DOC000002,1006,eligible,,0,0,534,0,book_or_book_chapter,page_resolved,,
DOC000002-C0039,DOC000002,912,eligible,,0,0,547,0,book_or_book_chapter,page_resolved,,
DOC000002-C0040,DOC000002,1100,eligible,,0,0,637,0,book_or_book_chapter,page_resolved,,
DOC000002-C0041,DOC000002,1196,eligible,,0,0,673,0,book_or_book_chapter,page_resolved,,
DOC000002-C0042,DOC000002,184,eligible,,0,0,81,0,book_or_book_chapter,page_resolved,,
DOC000002-C0043,DOC000002,574,eligible,,0,0,239,0,book_or_book_chapter,page_resolved,,
DOC000002-C0044,DOC000002,449,eligible,,0,0,193,1,book_or_book_chapter,page_resolved,,
DOC000002-C0045,DOC000002,161,eligible,,0,0,62,1,book_or_book_chapter,page_resolved,,
DOC000002-C0046,DOC000002,219,eligible,,0,0,65,0,book_or_book_chapter,page_resolved,,
DOC000002-C0047,DOC000002,583,eligible,,0,0,240,1,book_or_book_chapter,page_resolved,,
DOC000002-C0048,DOC000002,453,eligible,,0,0,166,1,book_or_book_chapter,page_resolved,,
DOC000002-C0049,DOC000002,608,eligible,,0,0,223,1,book_or_book_chapter,page_resolved,,
DOC000002-C0050,DOC000002,778,eligible,,0,0,328,1,book_or_book_chapter,page_resolved,,
DOC000002-C0051,DOC000002,330,eligible,,0,0,123,1,book_or_book_chapter,page_resolved,,
DOC000002-C0052,DOC000002,808,eligible,,0,0,392,1,book_or_book_chapter,page_resolved,,
DOC000002-C0053,DOC000002,943,eligible,,0,0,280,1,book_or_book_chapter,page_resolved,,
DOC000002-C0054,DOC000002,885,eligible,,0,0,406,1,book_or_book_chapter,page_resolved,,
DOC000002-C0055,DOC000002,1067,eligible,,0,0,447,1,book_or_book_chapter,page_resolved,,
DOC000002-C0056,DOC000002,368,eligible,,0,0,185,0,book_or_book_chapter,page_resolved,,
DOC000002-C0057,DOC000002,1105,eligible,,0,0,342,1,book_or_book_chapter,page_resolved,,
DOC000002-C0058,DOC000002,192,eligible,,0,0,131,0,book_or_book_chapter,page_resolved,,
DOC000002-C0059,DOC000002,521,eligible,,0,0,171,1,book_or_book_chapter,page_resolved,,
DOC000002-C0060,DOC000002,630,eligible,,0,0,225,1,book_or_book_chapter,page_resolved,,
DOC000002-C0061,DOC000002,1222,eligible,,0,0,622,0,book_or_book_chapter,page_resolved,,
DOC000002-C0062,DOC000002,984,eligible,,0,0,491,0,book_or_book_chapter,page_resolved,,
DOC000002-C0063,DOC000002,484,eligible,,0,0,225,0,book_or_book_chapter,page_resolved,,
DOC000002-C0064,DOC000002,1067,eligible,,0,0,352,1,book_or_book_chapter,page_resolved,,
DOC000002-C0065,DOC000002,800,eligible,,0,0,323,1,book_or_book_chapter,page_resolved,,
DOC000002-C0066,DOC000002,1014,eligible,,0,0,460,1,book_or_book_chapter,page_resolved,,
DOC000002-C0067,DOC000002,1273,eligible,,0,0,508,1,book_or_book_chapter,page_resolved,,
DOC000002-C0068,DOC000002,965,eligible,,0,0,373,1,book_or_book_chapter,page_resolved,,
DOC000002-C0069,DOC000002,1040,eligible,,0,0,450,1,book_or_book_chapter,page_resolved,,
DOC000002-C0070,DOC000002,1157,eligible,,0,0,462,1,book_or_book_chapter,page_resolved,,
DOC000002-C0071,DOC000002,759,eligible,,0,0,309,1,book_or_book_chapter,page_resolved,,
DOC000003-C0001,DOC000003,747,eligible,,0,0,252,0,academic_article,page_resolved,,
DOC000003-C0002,DOC000003,1018,eligible,,0,0,578,0,academic_article,page_resolved,,
DOC000003-C0003,DOC000003,1188,eligible,,0,0,699,0,academic_article,page_resolved,,
DOC000003-C0004,DOC000003,722,eligible,,0,0,387,0,academic_article,page_resolved,,
DOC000003-C0005,DOC000003,707,eligible,,0,0,400,0,academic_article,page_resolved,,
DOC000003-C0006,DOC000003,786,eligible,,0,0,433,0,academic_article,page_resolved,,
DOC000003-C0007,DOC000003,1288,eligible,,0,0,282,1,academic_article,page_resolved,,
DOC000003-C0008,DOC000003,683,eligible,,0,0,193,1,academic_article,page_resolved,,
DOC000003-C0009,DOC000003,1272,eligible,,0,0,713,0,academic_article,page_resolved,,
DOC000003-C0010,DOC000003,1045,eligible,,0,0,578,0,academic_article,page_resolved,,
DOC000003-C0011,DOC000003,1186,eligible,,0,0,627,0,academic_article,page_resolved,,
DOC000003-C0012,DOC000003,713,eligible,,0,0,431,0,academic_article,page_resolved,,
DOC000003-C0013,DOC000003,1254,eligible,,0,0,328,1,academic_article,page_resolved,,
DOC000003-C0014,DOC000003,682,eligible,,0,0,390,0,academic_article,page_resolved,,
DOC000003-C0015,DOC000003,953,eligible,,0,0,302,1,academic_article,page_resolved,,
DOC000003-C0016,DOC000003,237,eligible,,0,0,131,0,academic_article,page_resolved,,
DOC000003-C0017,DOC000003,1147,eligible,,0,0,452,1,academic_article,page_resolved,,
DOC000003-C0018,DOC000003,989,eligible,,0,0,329,1,academic_article,page_resolved,,
DOC000003-C0019,DOC000003,722,eligible,,0,0,415,0,academic_article,page_resolved,,
DOC000003-C0020,DOC000003,923,eligible,,0,0,487,0,academic_article,page_resolved,,
DOC000003-C0021,DOC000003,554,eligible,,0,0,323,0,academic_article,page_resolved,,
DOC000003-C0022,DOC000003,791,eligible,,0,0,401,0,academic_article,page_resolved,,
DOC000003-C0023,DOC000003,691,eligible,,0,0,368,0,academic_article,page_resolved,,
DOC000003-C0024,DOC000003,906,eligible,,0,0,482,0,academic_article,page_resolved,,
DOC000003-C0025,DOC000003,1235,eligible,,0,0,683,0,academic_article,page_resolved,,
