document_id,source_relative_path,source_sha256,baseline_output,full_docling_output,final_output,selected_variant,selection_reason,baseline_converter,full_docling_status,quality_status,authority_level,document_type,language,year,topics,citation_sidecar,original_page_provenance_available
DOC000001,Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.pdf,1980884f21bd5c134c8e603a62bc715204b58c5d43382eb7b89a5779e380e1c7,data/markdown/Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.md,data/markdown_full_docling/Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.md,data/corpus_final/Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.md,full_docling,quality_passed_use_full_docling,pypdf_fallback,success,passed,,unknown,,,,data/temp/full_docling_chunks/DOC000001/0001.docling.json,true
DOC000002,Leyla Literatür/TunelMaliyet/12229738_04.pdf,a9dc4c909c9d5972c9b348bc14fa59991b7d0d4e8eb79cd73b9d771cb26ef49b,data/markdown/Leyla Literatür/TunelMaliyet/12229738_04.md,data/markdown_full_docling/Leyla Literatür/TunelMaliyet/12229738_04.md,data/corpus_final/Leyla Literatür/TunelMaliyet/12229738_04.md,full_docling,quality_passed_use_full_docling,pypdf_fallback,success,passed,,unknown,,,,data/temp/full_docling_chunks/DOC000002/0001.docling.json|data/temp/full_docling_chunks/DOC000002/0005.docling.json|data/temp/full_docling_chunks/DOC000002/0002.docling.json|data/temp/full_docling_chunks/DOC000002/0003.docling.json|data/temp/full_docling_chunks/DOC000002/0004.docling.json,true
DOC000003,Leyla Literatür/TunelMaliyet/13965.pdf,e4e696e67dc8f1675451c38298acc0ee645ade4b74d8dea722d77cd210551d15,data/markdown/Leyla Literatür/TunelMaliyet/13965.md,data/markdown_full_docling/Leyla Literatür/TunelMaliyet/13965.md,data/corpus_final/Leyla Literatür/TunelMaliyet/13965.md,full_docling,quality_passed_use_full_docling,pypdf_fallback,success,passed,,unknown,,,,data/temp/full_docling_chunks/DOC000003/0001.docling.json|data/temp/full_docling_chunks/DOC000003/0005.docling.json|data/temp/full_docling_chunks/DOC000003/0006.docling.json|data/temp/full_docling_chunks/DOC000003/0007.docling.json|data/temp/full_docling_chunks/DOC000003/0008.docling.json|data/temp/full_docling_chunks/DOC000003/0002.docling.json|data/temp/full_docling_chunks/DOC000003/0003.docling.json|data/temp/full_docling_chunks/DOC000003/0004.docling.json,true
DOC000004,Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.pdf,77cf2eb068cd0f71b6f6069617f35886b8f6fb4f66e7f4d78aae7b8de6935a72,data/markdown/Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.md,data/markdown_full_docling/Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.md,data/corpus_final/Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.md,full_docling,quality_passed_use_full_docling,pypdf_fallback,success,passed,,unknown,,1999,,data/temp/full_docling_chunks/DOC000004/0001.docling.json,true
DOC000005,Leyla Literatür/TunelMaliyet/3433030499-627.pdf,88542183b3fa42e9a11933065239cd73839b62ba311a4c1705f13390b5561285,data/markdown/Leyla Literatür/TunelMaliyet/3433030499-627.md,data/markdown_full_docling/Leyla Literatür/TunelMaliyet/3433030499-627.md,data/corpus_final/Leyla Literatür/TunelMaliyet/3433030499-627.md,full_docling,quality_passed_use_full_docling,pypdf_fallback,success,passed,,unknown,,,,data/temp/full_docling_chunks/DOC000005/0001.docling.json,true
DOC000006,Leyla Literatür/TunelMaliyet/3433030499-628.pdf,197ca69742a7143371e57de84424bf6efb817fc1e24298cd742ead68da45b06b,data/markdown/Leyla Literatür/TunelMaliyet/3433030499-628.md,data/markdown_full_docling/Leyla Literatür/TunelMaliyet/3433030499-628.md,data/corpus_final/Leyla Literatür/TunelMaliyet/3433030499-628.md,full_docling,quality_passed_use_full_docling,pypdf_fallback,success,passed,,unknown,,,,data/temp/full_docling_chunks/DOC000006/0001.docling.json,true
DOC000007,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,f7364cfe35d103c795f3d2e5f31ce0dba9e072a5a7e070766682abe73f365b83,data/markdown/Leyla Literatür/TunelMaliyet/3433030499-629.md,data/markdown_full_docling/Leyla Literatür/TunelMaliyet/3433030499-629.md,data/corpus_final/Leyla Literatür/TunelMaliyet/3433030499-629.md,full_docling,quality_passed_use_full_docling,pypdf_fallback,success,passed,,unknown,,,,data/temp/full_docling_chunks/DOC000007/0001.docling.json,true
DOC000009,Leyla Literatür/TunelMaliyet/AppendixF.pdf,a11326648f705babf4f9c91a9092d8833da40a7faf35e15ec6495b13fd30a412,data/markdown/Leyla Literatür/TunelMaliyet/AppendixF.md,data/markdown_full_docling/Leyla Literatür/TunelMaliyet/AppendixF.md,data/corpus_final/Leyla Literatür/TunelMaliyet/AppendixF.md,baseline,quality_reject_use_baseline,pypdf_fallback,quality_reject_use_baseline,rejected,,unknown,,,,,false
DOC000010,Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,279425daaab3228f6b723aecfc8557456a726e6e3db8934acffd1855a19ed9e4,data/markdown/Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.md,data/markdown_full_docling/Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.md,data/corpus_final/Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.md,full_docling,quality_passed_use_full_docling,pypdf_fallback,success,passed,,unknown,,,,data/temp/full_docling_chunks/DOC000010/0001.docling.json,true
DOC000011,Leyla Literatür/TunelMaliyet/ConstructionCost-annex_13_case_study_tunneling.pdf,132bdd29ff845933c0d02d8d129b902bc6e6a696d01dee2b9645f09f7e94fd2d,data/markdown/Leyla Literatür/TunelMaliyet/ConstructionCost-annex_13_case_study_tunneling.md,data/markdown_full_docling/Leyla Literatür/TunelMaliyet/ConstructionCost-annex_13_case_study_tunneling.md,data/corpus_final/Leyla Literatür/TunelMaliyet/ConstructionCost-annex_13_case_study_tunneling.md,full_docling,quality_passed_use_full_docling,pypdf_fallback,success,passed,,unknown,,,,data/temp/full_docling_chunks/DOC000011/0001.docling.json|data/temp/full_docling_chunks/DOC000011/0002.docling.json,true
DOC000012,Leyla Literatür/TunelMaliyet/COSTS OF CONSTRUCTION_Tunnel.docx,3cf8e7e534d4363e9c7cd595883bdba4d4e935a1e04a3ac728ad87b2f0e47f4a,data/markdown/Leyla Literatür/TunelMaliyet/COSTS OF CONSTRUCTION_Tunnel.md,,data/corpus_final/Leyla Literatür/TunelMaliyet/COSTS OF CONSTRUCTION_Tunnel.md,baseline,canonical_baseline_not_full_docling_candidate,docling,not_candidate,not_applicable,,unknown,,,,,false
DOC000013,Leyla Literatür/TunelMaliyet/Estimation_of_Annual_Routine_Maintenance_Cost_for_.pdf,e9bce09c7035ac5c141dea236fcfd694e507faf2ccba90f6e0e21f29b3ecaa4f,data/markdown/Leyla Literatür/TunelMaliyet/Estimation_of_Annual_Routine_Maintenance_Cost_for_.md,data/markdown_full_docling/Leyla Literatür/TunelMaliyet/Estimation_of_Annual_Routine_Maintenance_Cost_for_.md,data/corpus_final/Leyla Literatür/TunelMaliyet/Estimation_of_Annual_Routine_Maintenance_Cost_for_.md,full_docling,quality_passed_use_full_docling,pypdf_fallback,success,passed,,unknown,,,maintenance,data/temp/full_docling_chunks/DOC000013/0001.docling.json,true
DOC000014,Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.pdf,e36fdb6f7e102b86f58200ae2e89f5c300a92555e560afdd6339510ae519af28,data/markdown/Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.md,data/markdown_full_docling/Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.md,data/corpus_final/Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.md,full_docling,quality_passed_use_full_docling,pypdf_fallback,success,passed,,unknown,,2013,,data/temp/full_docling_chunks/DOC000014/0001.docling.json,true
DOC000015,Leyla Literatür/TunelMaliyet/hif15005.pdf,b6a2b2e47753afe8699c10da551fe4afc311dcac8f4504a34c8e83d71fd157c8,data/markdown/Leyla Literatür/TunelMaliyet/hif15005.md,data/markdown_full_docling/Leyla Literatür/TunelMaliyet/hif15005.md,data/corpus_final/Leyla Literatür/TunelMaliyet/hif15005.md,full_docling,quality_passed_use_full_docling,pypdf_fallback,success,passed,,unknown,,,,data/temp/full_docling_chunks/DOC000015/0001.docling.json|data/temp/full_docling_chunks/DOC000015/0005.docling.json|data/temp/full_docling_chunks/DOC000015/0006.docling.json|data/temp/full_docling_chunks/DOC000015/0007.docling.json|data/temp/full_docling_chunks/DOC000015/0008.docling.json|data/temp/full_docling_chunks/DOC000015/0009.docling.json|data/temp/full_docling_chunks/DOC000015/0010.docling.json|data/temp/full_docling_chunks/DOC000015/0011.docling.json|data/temp/full_docling_chunks/DOC000015/0002.docling.json|data/temp/full_docling_chunks/DOC000015/0003.docling.json|data/temp/full_docling_chunks/DOC000015/0004.docling.json,true
DOC000016,Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.pdf,376b6902031fe537a68c4606bbc954db0a2583e517f679e65b8aeded512e39cd,data/markdown/Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.md,data/markdown_full_docling/Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.md,data/corpus_final/Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.md,full_docling,quality_passed_use_full_docling,pypdf_fallback,success,passed,,unknown,,,,data/temp/full_docling_chunks/DOC000016/0001.docling.json,true
