document_id,source_relative_path,source_filename,source_extension,source_sha256,title_value,title_source,title_confidence,title_verification_status,organization_value,organization_source,organization_confidence,organization_verification_status,year_value,year_source,year_confidence,year_verification_status,language_value,language_source,language_confidence,language_verification_status,document_type_value,document_type_source,document_type_confidence,document_type_verification_status,authority_level_value,authority_level_source,authority_level_confidence,authority_level_verification_status,topics_value,topics_source,topics_confidence,topics_verification_status
DOC000001,Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.pdf,1-s2.0-S0886779816307866-main.pdf,.pdf,1980884f21bd5c134c8e603a62bc715204b58c5d43382eb7b89a5779e380e1c7,1-s2.0-S0886779816307866-main,deterministic_existing,,deterministic_candidate,FHWA,deterministic_existing,,deterministic_candidate,,human_review_pending,high,human_review_required,en,deterministic_existing,high,deterministic_candidate,,human_review_pending,high,human_review_required,B,llm_grounded_auto_safe,high,auto_safe_candidate,accident|cost|maintenance|operations|regulation|safety|standards|traffic|unit_price,deterministic_existing,high,deterministic_candidate
DOC000002,Leyla Literatür/TunelMaliyet/12229738_04.pdf,12229738_04.pdf,.pdf,a9dc4c909c9d5972c9b348bc14fa59991b7d0d4e8eb79cd73b9d771cb26ef49b,,human_review_pending,high,human_review_required,,human_review_pending,high,human_review_required,,unresolved,low,unresolved_nonblocking,en,deterministic_existing,high,deterministic_candidate,book_or_book_chapter,deterministic_existing,medium,deterministic_candidate,,unresolved,low,unresolved_nonblocking,accident|cost|drainage|inspection|maintenance|monitoring|operations|portal|traffic|ventilation,deterministic_existing,high,deterministic_candidate
DOC000003,Leyla Literatür/TunelMaliyet/13965.pdf,13965.pdf,.pdf,e4e696e67dc8f1675451c38298acc0ee645ade4b74d8dea722d77cd210551d15,,human_review_pending,high,human_review_required,FHWA,deterministic_existing,,deterministic_candidate,,human_review_pending,high,human_review_required,en,deterministic_existing,high,deterministic_candidate,academic_article,deterministic_existing,medium,deterministic_candidate,,unresolved,low,unresolved_nonblocking,contracts|cost|maintenance|operations|safety,deterministic_existing,high,deterministic_candidate
DOC000004,Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.pdf,1999 05.06.B Chap 7 EN.pdf,.pdf,77cf2eb068cd0f71b6f6069617f35886b8f6fb4f66e7f4d78aae7b8de6935a72,1999 05.06.B Chap 7 EN,deterministic_existing,,deterministic_candidate,,human_review_pending,high,human_review_required,1999,existing_verified,high,verified_existing,en,deterministic_existing,high,deterministic_candidate,,human_review_pending,high,human_review_required,,unresolved,low,unresolved_nonblocking,contracts|cost|drainage|maintenance|monitoring|operations|safety|standards|traffic|ventilation,deterministic_existing,high,deterministic_candidate
DOC000005,Leyla Literatür/TunelMaliyet/3433030499-627.pdf,3433030499-627.pdf,.pdf,88542183b3fa42e9a11933065239cd73839b62ba311a4c1705f13390b5561285,,unresolved,low,rejected_suggestion,,unresolved,low,unresolved_nonblocking,,unresolved,low,unresolved_nonblocking,en,deterministic_existing,high,deterministic_candidate,,human_review_pending,high,human_review_required,,unresolved,low,unresolved_nonblocking,accident|cost|excavation|geotechnical_investigation|maintenance|operations|safety|standards|traffic|ventilation,deterministic_existing,high,deterministic_candidate
DOC000006,Leyla Literatür/TunelMaliyet/3433030499-628.pdf,3433030499-628.pdf,.pdf,197ca69742a7143371e57de84424bf6efb817fc1e24298cd742ead68da45b06b,,unresolved,low,unresolved_nonblocking,,unresolved,low,unresolved_nonblocking,,unresolved,low,unresolved_nonblocking,en,deterministic_existing,high,deterministic_candidate,,unresolved,low,rejected_suggestion,,unresolved,high,unresolved_nonblocking,blasting|contracts|cost|drainage|excavation|forepoling|maintenance|monitoring|operations|regulation|rock_mechanics|safety|tbm|traffic|water|waterproofing,deterministic_existing,high,deterministic_candidate
DOC000007,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,3433030499-629.pdf,.pdf,f7364cfe35d103c795f3d2e5f31ce0dba9e072a5a7e070766682abe73f365b83,,human_review_pending,high,human_review_required,,unresolved,low,unresolved_nonblocking,,unresolved,low,unresolved_nonblocking,en,deterministic_existing,high,deterministic_candidate,,human_review_pending,high,human_review_required,,unresolved,low,unresolved_nonblocking,cost|safety,deterministic_existing,high,deterministic_candidate
DOC000009,Leyla Literatür/TunelMaliyet/AppendixF.pdf,AppendixF.pdf,.pdf,a11326648f705babf4f9c91a9092d8833da40a7faf35e15ec6495b13fd30a412,AppendixF,deterministic_existing,,deterministic_candidate,,unresolved,low,unresolved_nonblocking,,unresolved,low,unresolved_nonblocking,,human_review_pending,medium,human_review_required,,human_review_pending,medium,human_review_required,,unresolved,low,unresolved_nonblocking,cost,deterministic_existing,medium,deterministic_candidate
DOC000010,Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,.pdf,279425daaab3228f6b723aecfc8557456a726e6e3db8934acffd1855a19ed9e4,Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _,deterministic_existing,,deterministic_candidate,,human_review_pending,high,human_review_required,2021,deterministic_existing,medium,deterministic_candidate,en,deterministic_existing,high,deterministic_candidate,,human_review_pending,high,human_review_required,,unresolved,low,unresolved_nonblocking,blasting|cost|excavation|geology|natm|operations|portal|tbm|traffic,deterministic_existing,high,deterministic_candidate
DOC000011,Leyla Literatür/TunelMaliyet/ConstructionCost-annex_13_case_study_tunneling.pdf,ConstructionCost-annex_13_case_study_tunneling.pdf,.pdf,132bdd29ff845933c0d02d8d129b902bc6e6a696d01dee2b9645f09f7e94fd2d,ConstructionCost-annex_13_case_study_tunneling,deterministic_existing,,deterministic_candidate,,unresolved,low,unresolved_nonblocking,,unresolved,low,unresolved_nonblocking,en,deterministic_existing,high,deterministic_candidate,,unresolved,low,unresolved_nonblocking,,unresolved,low,unresolved_nonblocking,blasting|case_study|cost|excavation|regulation|standards|tbm,deterministic_existing,high,deterministic_candidate
