document_id,source_relative_path,source_filename,source_extension,source_sha256,selected_variant,authority_level_current,authority_level_suggested,authority_evidence,authority_confidence,document_type_current,document_type_suggested,document_type_evidence,document_type_confidence,language_current,language_suggested,language_confidence,year_current,year_suggested,year_evidence,year_confidence,topics_current,topics_suggested,topics_evidence,topics_confidence,organization_suggested,title_suggested,citation_mode,citation_sidecar,original_page_provenance_available,requires_human_review,review_status
DOC000001,Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.pdf,1-s2.0-S0886779816307866-main.pdf,.pdf,1980884f21bd5c134c8e603a62bc715204b58c5d43382eb7b89a5779e380e1c7,full_docling,,unclassified,İçerikte resmî kaynağa atıf var; belgenin kendisinin authority'si doğrulanmadı: federal highway administration,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,accident|cost|maintenance|operations|regulation|safety|standards|traffic|unit_price,safety:safety; traffic:traffic; operations:operation; maintenance:maintenance; regulation:regulation; standards:standard; cost:maliyet; unit_price:unit price; accident:accident; tunnel_general:tunnel,high,FHWA,1-s2.0-S0886779816307866-main,pdf_page,data/temp/full_docling_chunks/DOC000001/0001.docling.json,true,true,pending
DOC000002,Leyla Literatür/TunelMaliyet/12229738_04.pdf,12229738_04.pdf,.pdf,a9dc4c909c9d5972c9b348bc14fa59991b7d0d4e8eb79cd73b9d771cb26ef49b,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,book_or_book_chapter,Dosya yolu/başlık/ilk heading sinyali: chapter 1,medium,,en,high,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,accident|cost|drainage|inspection|maintenance|monitoring|operations|portal|traffic|ventilation,drainage:drainage; portal:portal; monitoring:monitoring; ventilation:ventilation; traffic:traffic; operations:operation; maintenance:maintenance; inspection:inspection; cost:maliyet; accident:accident; tunnel_general:tunnel,high,,12229738_04,pdf_page,data/temp/full_docling_chunks/DOC000002/0001.docling.json|data/temp/full_docling_chunks/DOC000002/0005.docling.json|data/temp/full_docling_chunks/DOC000002/0002.docling.json|data/temp/full_docling_chunks/DOC000002/0003.docling.json|data/temp/full_docling_chunks/DOC000002/0004.docling.json,true,true,pending
DOC000003,Leyla Literatür/TunelMaliyet/13965.pdf,13965.pdf,.pdf,e4e696e67dc8f1675451c38298acc0ee645ade4b74d8dea722d77cd210551d15,full_docling,,B,Akademik yayın türü sinyali: academic_article,medium,unknown,academic_article,İlk içerik bölümünde yayın türü sinyali: doi,medium,,en,high,,,"Belge metninde çelişkili publication/date yılları: 1987, 2006",low,,contracts|cost|maintenance|operations|safety,safety:safety; operations:operation; maintenance:maintenance; cost:maliyet; contracts:contract; tunnel_general:tunnel,high,FHWA,13965,pdf_page,data/temp/full_docling_chunks/DOC000003/0001.docling.json|data/temp/full_docling_chunks/DOC000003/0005.docling.json|data/temp/full_docling_chunks/DOC000003/0006.docling.json|data/temp/full_docling_chunks/DOC000003/0007.docling.json|data/temp/full_docling_chunks/DOC000003/0008.docling.json|data/temp/full_docling_chunks/DOC000003/0002.docling.json|data/temp/full_docling_chunks/DOC000003/0003.docling.json|data/temp/full_docling_chunks/DOC000003/0004.docling.json,true,true,pending
DOC000004,Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.pdf,1999 05.06.B Chap 7 EN.pdf,.pdf,77cf2eb068cd0f71b6f6069617f35886b8f6fb4f66e7f4d78aae7b8de6935a72,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,1999,1999,Mevcut canonical metadata yılı: 1999,high,,contracts|cost|drainage|maintenance|monitoring|operations|safety|standards|traffic|ventilation,drainage:drainage; monitoring:monitoring; safety:safety; ventilation:ventilation; traffic:traffic; operations:operation; maintenance:maintenance; standards:standard; cost:maliyet; contracts:contract; tunnel_general:tunnel,high,,1999 05.06.B Chap 7 EN,pdf_page,data/temp/full_docling_chunks/DOC000004/0001.docling.json,true,true,pending
DOC000005,Leyla Literatür/TunelMaliyet/3433030499-627.pdf,3433030499-627.pdf,.pdf,88542183b3fa42e9a11933065239cd73839b62ba311a4c1705f13390b5561285,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,accident|cost|excavation|geotechnical_investigation|maintenance|operations|safety|standards|traffic|ventilation,geotechnical_investigation:geotechnical; excavation:excavat; safety:safety; ventilation:ventilation; traffic:traffic; operations:operation; maintenance:maintenance; standards:standard; cost:maliyet; accident:accident; tunnel_general:tunnel,high,,3433030499-627,pdf_page,data/temp/full_docling_chunks/DOC000005/0001.docling.json,true,true,pending
DOC000006,Leyla Literatür/TunelMaliyet/3433030499-628.pdf,3433030499-628.pdf,.pdf,197ca69742a7143371e57de84424bf6efb817fc1e24298cd742ead68da45b06b,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,blasting|contracts|cost|drainage|excavation|forepoling|maintenance|monitoring|operations|regulation|rock_mechanics|safety|tbm|traffic|water|waterproofing,tbm:tbm; rock_mechanics:rock mass; excavation:excavat; blasting:blasting; forepoling:forepol; water:groundwater; drainage:drainage; waterproofing:waterproof; monitoring:monitoring; safety:safety; traffic:traffic; operations:operation,high,,3433030499-628,pdf_page,data/temp/full_docling_chunks/DOC000006/0001.docling.json,true,true,pending
DOC000007,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,3433030499-629.pdf,.pdf,f7364cfe35d103c795f3d2e5f31ce0dba9e072a5a7e070766682abe73f365b83,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,cost|safety,safety:safety; cost:maliyet; tunnel_general:tunnel,high,,3433030499-629,pdf_page,data/temp/full_docling_chunks/DOC000007/0001.docling.json,true,true,pending
DOC000009,Leyla Literatür/TunelMaliyet/AppendixF.pdf,AppendixF.pdf,.pdf,a11326648f705babf4f9c91a9092d8833da40a7faf35e15ec6495b13fd30a412,baseline,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,unknown,low,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,cost,cost:maliyet,medium,,AppendixF,source_only,,false,true,pending
DOC000010,Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,.pdf,279425daaab3228f6b723aecfc8557456a726e6e3db8934acffd1855a19ed9e4,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,,2021,Belge metninde publication/date bağlamında açık yıl: 2021,medium,,blasting|cost|excavation|geology|natm|operations|portal|tbm|traffic,natm:natm; tbm:tbm; geology:geolog; excavation:excavat; blasting:blasting; portal:portal; traffic:traffic; operations:operation; cost:maliyet; tunnel_general:tunnel,high,,Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _,pdf_page,data/temp/full_docling_chunks/DOC000010/0001.docling.json,true,true,pending
DOC000011,Leyla Literatür/TunelMaliyet/ConstructionCost-annex_13_case_study_tunneling.pdf,ConstructionCost-annex_13_case_study_tunneling.pdf,.pdf,132bdd29ff845933c0d02d8d129b902bc6e6a696d01dee2b9645f09f7e94fd2d,full_docling,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,en,high,,,Publication year için güvenilir açık kanıt bulunamadı; filesystem tarihi kullanılmadı,low,,blasting|case_study|cost|excavation|regulation|standards|tbm,tbm:tbm; excavation:excavat; blasting:drill & blast; regulation:regulation; standards:standard; cost:maliyet; case_study:case study; tunnel_general:tunnel,high,,ConstructionCost-annex_13_case_study_tunneling,pdf_page,data/temp/full_docling_chunks/DOC000011/0001.docling.json|data/temp/full_docling_chunks/DOC000011/0002.docling.json,true,true,pending
