document_id,source_relative_path,field,current_value,suggested_value,evidence,confidence,reviewer_value,reviewer_note,review_status,reviewed_at
DOC000001,Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.pdf,authority_level,,unclassified,İçerikte resmî kaynağa atıf var; belgenin kendisinin authority'si doğrulanmadı: federal highway administration,low,,,pending,
DOC000001,Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000002,Leyla Literatür/TunelMaliyet/12229738_04.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000003,Leyla Literatür/TunelMaliyet/13965.pdf,authority_level,,B,Akademik yayın türü sinyali: academic_article,medium,,,pending,
DOC000003,Leyla Literatür/TunelMaliyet/13965.pdf,year,,,"Belge metninde çelişkili publication/date yılları: 1987, 2006",low,,,pending,
DOC000004,Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000004,Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000005,Leyla Literatür/TunelMaliyet/3433030499-627.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000005,Leyla Literatür/TunelMaliyet/3433030499-627.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000006,Leyla Literatür/TunelMaliyet/3433030499-628.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000006,Leyla Literatür/TunelMaliyet/3433030499-628.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000007,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000007,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000009,Leyla Literatür/TunelMaliyet/AppendixF.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000009,Leyla Literatür/TunelMaliyet/AppendixF.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
