priority,document_id,source_relative_path,field,current_value,deterministic_suggestion,llm_suggestion,evidence,confidence,agreement_status,reviewer_value,reviewer_note,review_status,reviewed_at
P0,DOC000001,Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.pdf,authority_level,,unclassified,B,Academic journal article from Elsevier,high,llm_only,,,pending,
P0,DOC000002,Leyla Literatür/TunelMaliyet/12229738_04.pdf,authority_level,,unclassified,unclassified,Source: JICA Survey Team [authority_B_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000002,Leyla Literatür/TunelMaliyet/12229738_04.pdf,title,,12229738_04,CHAPTER 14 OPERATIONS AND MAINTENANCE OF THE PROJECT,CHAPTER 14 OPERATIONS AND MAINTENANCE OF THE PROJECT,high,deterministic_llm_conflict,,,pending,
P0,DOC000002,Leyla Literatür/TunelMaliyet/12229738_04.pdf,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000003,Leyla Literatür/TunelMaliyet/13965.pdf,authority_level,,B,unclassified,Transit Cooperative Research Program conducted by the Transportation Research Board with the approval of the Governing Board of the National Research Council. [authority_A_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000003,Leyla Literatür/TunelMaliyet/13965.pdf,title,,13965,Making Transportation Tunnels Safe and Secure,Making Transportation Tunnels Safe and Secure (2006),high,deterministic_llm_conflict,,,pending,
P0,DOC000004,Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.pdf,authority_level,,unclassified,unclassified,"The PIARC report ""Classification of tunnels"" (1995) contains the following statement: 'There is growing interest in the use of classification systems for establishing consistent, safe and economic standards for equipping, operating, maintaining and refurbishing road tunnels.' [authority_B_evidence_class_mismatch]",low,unresolved,,,pending,
P0,DOC000005,Leyla Literatür/TunelMaliyet/3433030499-627.pdf,authority_level,,unclassified,unclassified,1.2.2 Constructional measures for road safety in tunnels [authority_B_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000005,Leyla Literatür/TunelMaliyet/3433030499-627.pdf,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000005,Leyla Literatür/TunelMaliyet/3433030499-627.pdf,title,,3433030499-627,Tunnel Engineering Handbook,1.2.2 Constructional measures for road safety in tunnels [suggested_value_not_supported_by_evidence],low,deterministic_llm_conflict,,,pending,
P0,DOC000005,Leyla Literatür/TunelMaliyet/3433030499-627.pdf,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000006,Leyla Literatür/TunelMaliyet/3433030499-628.pdf,authority_level,,unclassified,unclassified,not_requested,high,unresolved,,,pending,
P0,DOC000006,Leyla Literatür/TunelMaliyet/3433030499-628.pdf,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000006,Leyla Literatür/TunelMaliyet/3433030499-628.pdf,title,,3433030499-628,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000006,Leyla Literatür/TunelMaliyet/3433030499-628.pdf,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000007,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,authority_level,,unclassified,unclassified,Volume II: Basics and Additional Services for Design and Construction [authority_B_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000007,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000007,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,title,,3433030499-629,Volume II: Basics and Additional Services for Design and Construction,Volume II: Basics and Additional Services for Design and Construction,high,deterministic_llm_conflict,,,pending,
P0,DOC000007,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000009,Leyla Literatür/TunelMaliyet/AppendixF.pdf,authority_level,,unclassified,unclassified,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000009,Leyla Literatür/TunelMaliyet/AppendixF.pdf,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000009,Leyla Literatür/TunelMaliyet/AppendixF.pdf,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000010,Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,authority_level,,unclassified,unclassified,CivilDigital website article [authority_D_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000011,Leyla Literatür/TunelMaliyet/ConstructionCost-annex_13_case_study_tunneling.pdf,authority_level,,unclassified,unclassified,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000011,Leyla Literatür/TunelMaliyet/ConstructionCost-annex_13_case_study_tunneling.pdf,document_type,unknown,unknown,unknown,Annex 13 - Case study on tunnels [controlled_vocabulary_rejected],low,unresolved,,,pending,
P0,DOC000011,Leyla Literatür/TunelMaliyet/ConstructionCost-annex_13_case_study_tunneling.pdf,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000011,Leyla Literatür/TunelMaliyet/ConstructionCost-annex_13_case_study_tunneling.pdf,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000012,Leyla Literatür/TunelMaliyet/COSTS OF CONSTRUCTION_Tunnel.docx,authority_level,,unclassified,A,[**1. Foreword**](https://tunnelsmanual.piarc.org/en/strategy-and-general-design-strategic-issues/costs-financial-aspects),high,llm_only,,,pending,
P0,DOC000012,Leyla Literatür/TunelMaliyet/COSTS OF CONSTRUCTION_Tunnel.docx,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000013,Leyla Literatür/TunelMaliyet/Estimation_of_Annual_Routine_Maintenance_Cost_for_.pdf,authority_level,,B,unclassified,not_requested [authority_B_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000014,Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.pdf,authority_level,,unclassified,B,academic_paper,high,llm_only,,,pending,
P0,DOC000014,Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.pdf,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000015,Leyla Literatür/TunelMaliyet/hif15005.pdf,authority_level,,unclassified,unclassified,disseminated under the sponsorship of the U.S. Department of Transportation [authority_A_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000016,Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.pdf,authority_level,,unclassified,unclassified,This Guide provides a general description of the principal cost elements for bored (or mechanised) tunnels constructed using either an 'Earth Pressure Balance Machine' (EPBM) or a 'Slurry' machine. [authority_B_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000017,Leyla Literatür/TunelMaliyet/IRJET-V8I7794.pdf,authority_level,,unclassified,unclassified,not_requested [authority_B_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000018,Leyla Literatür/TunelMaliyet/low-cost-tunnels-rural-roads-asia-pacific.pdf,authority_level,,B,unclassified,ASIAN DEVELOPMENT BANK ## LOW-COST TUNNELS FOR RURAL ROADS IN ASIA AND THE PACIFIC [authority_A_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000019,Leyla Literatür/TunelMaliyet/operating-costs-and-revenues-report.pdf,authority_level,,unclassified,unclassified,"Although this report was commissioned by the Department for Transport (DfT), the findings and recommendations are those of the authors and do not necessarily represent the views of the DfT. [authority_B_evidence_class_mismatch]",low,unresolved,,,pending,
P0,DOC000020,Leyla Literatür/TunelMaliyet/THICKI01_TALK.pdf,authority_level,,unclassified,unclassified,THICKI01_TALK.pdf [evidence_not_grounded_in_context] [authority_C_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000020,Leyla Literatür/TunelMaliyet/THICKI01_TALK.pdf,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000021,Leyla Literatür/TunelMaliyet/Tunnel - Wikipedia.pdf,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000021,Leyla Literatür/TunelMaliyet/Tunnel - Wikipedia.pdf,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000022,Leyla Literatür/TunelMaliyet/Tunnel_ 3 Types and Classification of Tunnel and Purposes.pdf,authority_level,,unclassified,unclassified,https://www.civilknowledges.com/bending-moment-types-formations/ [authority_D_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000022,Leyla Literatür/TunelMaliyet/Tunnel_ 3 Types and Classification of Tunnel and Purposes.pdf,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000022,Leyla Literatür/TunelMaliyet/Tunnel_ 3 Types and Classification of Tunnel and Purposes.pdf,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000023,Leyla Literatür/TunelMaliyet/Tunnels-PIARC.docx,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000024,Leyla Literatür/TunelMaliyet/TUNNELS-TYPESANDIMPORTANCE.pdf,authority_level,,unclassified,unclassified,"Technical Report · March 2014 CITATIONS 0 READS 55,921 [authority_B_evidence_class_mismatch]",low,unresolved,,,pending,
P0,DOC000025,Leyla Literatür/TunelMaliyet/What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.pdf,authority_level,,unclassified,unclassified,By Krunal Rajput HOME [CIVIL](https://civiljungle.com/category/civil/) [authority_D_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000025,Leyla Literatür/TunelMaliyet/What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.pdf,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000038,Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,authority_level,,unclassified,unclassified,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000038,Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000038,Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000039,Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,authority_level,,unclassified,unclassified,"IPA is the government's centre of expertise for infrastructure and major projects, joint reporting to HM Treasury and the Cabinet Office. [authority_C_evidence_class_mismatch]",low,unresolved,,,pending,
P0,DOC000041,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,authority_level,,unclassified,unclassified,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000041,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,organization,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000041,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,year,,,,[evidence_not_grounded_in_context],low,unresolved,,,pending,
P0,DOC000042,Literatür ve Araştırmalar/Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.pdf,authority_level,,B,unclassified,not_requested [authority_B_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000044,"Literatür ve Araştırmalar/Management of road tunnels_Construction, maintenance.pdf",authority_level,,unclassified,unclassified,academic article published in a peer-reviewed journal (Tunnelling and Underground Space Technology) [evidence_not_grounded_in_context] [authority_B_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000045,Literatür ve Araştırmalar/TR Karayolları Tünellerinin Tarihçesi ve Tünel Güvenlik Kriterleri.pdf,authority_level,,unclassified,unclassified,"Karayolları Genel Müdürlüğünün bu konuyla ilgili iki çalışması mevcuttur. Referans alınabilecek bu iki çalışmadan biri, 'Tünel İşletme Ve Bakımı Hakkında Yönetmelik Tasarısı', diğeri ise 'Tünellerin Asgari Güvenlik Gereksinimlerine İlişkin Proje Kriterlerinin Belirlenmesi İle İlgili Komisyon Raporu'dur. [authority_B_evidence_class_mismatch]",low,unresolved,,,pending,
P0,DOC000048,Literatür ve Araştırmalar/TÜNEL BAKIM İŞLETME EL KİTABI.pdf,authority_level,,unclassified,unclassified,KARAYOLLARI GENEL MÜDÜRLÜĞÜ BAKIM DAİRESİ BAŞKANLIĞI TÜNEL BAKIM İŞLETME ŞUBESİ MÜDÜRLÜĞÜ 2009 [evidence_not_grounded_in_context] [authority_A_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000049,Literatür ve Araştırmalar/TÜNEL ENVANTER KİTABI 2015.pdf,authority_level,,unclassified,unclassified,ULAŞTIRMA DENİZCİLİK VE HABERLEŞME BAKANLIĞI Karayolları Genel Müdürlüğü [authority_A_evidence_class_mismatch],low,unresolved,,,pending,
P0,DOC000051,Literatür ve Araştırmalar/Tünel Haritası 2024_KGMWEB.pdf,authority_level,,unclassified,unclassified,not_requested,high,unresolved,,,pending,
