priority,document_id,source_relative_path,field,current_value,deterministic_suggestion,llm_suggestion,selected_candidate,evidence,confidence,agreement_status,adjudication_reason,reviewer_value,reviewer_note,review_status,reviewed_at
P0,DOC000002,Leyla Literatür/TunelMaliyet/12229738_04.pdf,title,,12229738_04,CHAPTER 14 OPERATIONS AND MAINTENANCE OF THE PROJECT,,CHAPTER 14 OPERATIONS AND MAINTENANCE OF THE PROJECT,high,deterministic_llm_conflict,strong_deterministic_llm_conflict,,,pending,
P0,DOC000003,Leyla Literatür/TunelMaliyet/13965.pdf,title,,13965,Making Transportation Tunnels Safe and Secure,,Making Transportation Tunnels Safe and Secure (2006),high,deterministic_llm_conflict,strong_deterministic_llm_conflict,,,pending,
P0,DOC000007,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,title,,3433030499-629,Volume II: Basics and Additional Services for Design and Construction,,Volume II: Basics and Additional Services for Design and Construction,high,deterministic_llm_conflict,strong_deterministic_llm_conflict,,,pending,
P0,DOC000266,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/yapim_isleri_ihaleleri_uygulama_yonetmeligi_degisiklikler_islenmis/0- YAPIM İPLERİ İHALELERİ UYGULAMA YÖNETMELİĞİ.docx,authority_level,,C,A,,**RESMİ GAZETE SAYISI: 27159/m.,high,deterministic_llm_conflict,strong_deterministic_llm_conflict,,,pending,
P1,DOC000001,Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.pdf,year,,,2017,,Accepted 22 February 2017,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000001,Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.pdf,document_type,unknown,unknown,academic_article,,Tunnelling and Underground Space Technology journal article,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000002,Leyla Literatür/TunelMaliyet/12229738_04.pdf,organization,,,JICA Survey Team,,Source: JICA Survey Team,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000003,Leyla Literatür/TunelMaliyet/13965.pdf,year,,,2006,,Making Transportation Tunnels Safe and Secure (2006),high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000004,Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.pdf,organization,,,PIARC,,"The PIARC report ""Classification of tunnels"" (1995) contains the following statement: 'There is growing interest in the use of classification systems for establishing consistent, safe and economic standards for equipping, operating, maintaining and refurbishing road tunnels.'",high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000004,Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.pdf,document_type,unknown,unknown,technical_report,,"The PIARC report ""Classification of tunnels"" (1995) contains the following statement: 'There is growing interest in the use of classification systems for establishing consistent, safe and economic standards for equipping, operating, maintaining and refurbishing road tunnels.'",high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
