priority,document_id,source_relative_path,field,previous_candidate,verification_value,verification_evidence,verification_confidence,verification_reason,reviewer_value,reviewer_note,review_status,reviewed_at
P0,DOC000002,Leyla Literatür/TunelMaliyet/12229738_04.pdf,title,CHAPTER 14 OPERATIONS AND MAINTENANCE OF THE PROJECT,,CHAPTER 14 OPERATIONS AND MAINTENANCE OF THE PROJECT,high,P0_true_conflict_human_decision_required,,,pending,
P0,DOC000003,Leyla Literatür/TunelMaliyet/13965.pdf,title,Making Transportation Tunnels Safe and Secure,,Making Transportation Tunnels Safe and Secure (2006),high,P0_true_conflict_human_decision_required,,,pending,
P0,DOC000007,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,title,Volume II: Basics and Additional Services for Design and Construction,,Volume II: Basics and Additional Services for Design and Construction,high,P0_true_conflict_human_decision_required,,,pending,
P0,DOC000266,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/yapim_isleri_ihaleleri_uygulama_yonetmeligi_degisiklikler_islenmis/0- YAPIM İPLERİ İHALELERİ UYGULAMA YÖNETMELİĞİ.docx,authority_level,A,,**RESMİ GAZETE SAYISI: 27159/m.,high,P0_true_conflict_human_decision_required,,,pending,
P1,DOC000001,Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.pdf,year,2017,,Accepted 22 February 2017 Ó 2017 Elsevier Ltd. All rights reserved.,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000001,Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.pdf,document_type,academic_article,,Tunnelling and Underground Space Technology journal homepage: www.elsevier.com/locate/tust,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000003,Leyla Literatür/TunelMaliyet/13965.pdf,year,2006,,Making Transportation Tunnels Safe and Secure (2006),high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000004,Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.pdf,document_type,technical_report,,"For this report, the working group has defined maintenance to include the following:",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000005,Leyla Literatür/TunelMaliyet/3433030499-627.pdf,document_type,handbook,,"The design of tunnel cross-sections in Germany is based on the guidelines for the equipment and operation of road tunnels (RABT) [77], also taking into account the guidelines for road design; cross-sections (RAS-Q) [76] and alignment (RAS-L) [75].",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000007,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,document_type,book_or_book_chapter,,Volume II: Basics and Additional Services for Design and Construction*,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000010,Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,organization,CivilDigital,,"Complete List of Different Methods of Tunnel Construction | Principal Tunneling Types April 5, 2017 by Anand Paul",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000010,Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,document_type,web_article,,"Home Resources  Articles About Us Site Map Contact Us Complete List of Different Methods of Tunnel Construction | Principal Tunneling Types April 5, 2017 by Anand Paul",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000013,Leyla Literatür/TunelMaliyet/Estimation_of_Annual_Routine_Maintenance_Cost_for_.pdf,organization,Xi'an Municipal Engineering Design&Research Institute Co Ltd; Chang'an University,,"Xi'an Municipal Engineering Design&Research Institute Co Ltd, Xi'an, Shaanxi, China",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000016,Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.pdf,document_type,technical_report,,A Guide to Tunnelling Costs ... The guide rates seek to represent the costs that a principal contractor would charge,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000017,Leyla Literatür/TunelMaliyet/IRJET-V8I7794.pdf,organization,International Research Journal of Engineering and Technology (IRJET),,"1-2 G.H.Raisoni University, Amravati, Anjangaon Bari Road, Amravati, Maharashtra, India",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000018,Leyla Literatür/TunelMaliyet/low-cost-tunnels-rural-roads-asia-pacific.pdf,year,2021,,Published in 2021.,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000019,Leyla Literatür/TunelMaliyet/operating-costs-and-revenues-report.pdf,document_type,technical_report,,"Review of Lower Thames Crossing Capacity Options Output 3: Operating Costs, Maintenance Costs and Revenues Report",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000022,Leyla Literatür/TunelMaliyet/Tunnel_ 3 Types and Classification of Tunnel and Purposes.pdf,document_type,web_article,,Stages of the geological investigation carried out for the tunneling projects. The geological details require for a tunneling project obtained in three stages.,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000024,Leyla Literatür/TunelMaliyet/TUNNELS-TYPESANDIMPORTANCE.pdf,year,2014,,"Technical Report · March 2014 CITATIONS 0 READS 55,921",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000024,Leyla Literatür/TunelMaliyet/TUNNELS-TYPESANDIMPORTANCE.pdf,document_type,technical_report,,"Technical Report · March 2014 CITATIONS 0 READS 55,921",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000036,Literatür ve Araştırmalar/20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.pdf,year,2015,,4 Ağustos 2015 SALI Sayı : 29435,high,strong_evidence_or_identity_threshold_not_met,,,pending,
