document_id,source_relative_path,source_extension,source_sha256,baseline_converter,reason_for_full_docling,size_bytes,page_count_if_known,selected,pilot_selected,pilot_role,stress_selected,stress_reason
DOC000240,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/STANDART ÇELİK HASIRLAR-TS 4559-İMO.pdf,.pdf,655b4197029d50bba83394e9704a2a9c6c254bb69eebf313266a8587804fa3ab,pypdf_fallback,layout_quality_check,53070,,true,true,normal_pdf,false,
DOC000041,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,.pdf,b33de96bcf1b4e6bdf99bfa40e8c182174ccd7c66ae084a49aa979ad0e50d592,pypdf_fallback,layout_quality_check,56849,,true,true,table_heavy_pdf,false,
DOC000004,Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.pdf,.pdf,77cf2eb068cd0f71b6f6069617f35886b8f6fb4f66e7f4d78aae7b8de6935a72,pypdf_fallback,layout_quality_check,61317,,true,false,,false,
DOC000009,Leyla Literatür/TunelMaliyet/AppendixF.pdf,.pdf,a11326648f705babf4f9c91a9092d8833da40a7faf35e15ec6495b13fd30a412,pypdf_fallback,layout_quality_check,125148,,true,false,,false,
DOC000242,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Taban kemersiz tip kesit.pdf,.pdf,a369ef85c983f426012c2b61cddd67c99178d863bfa6eb3d6ea6889170ef8c12,pypdfium2+rapidocr_torch,ocr_comparison,223930,,true,true,ocr_layout_difficult,false,
DOC000063,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/tehlikeli-maddelerin-karayolu-ile-tasinmasi-yonetmelik-62b01f085fe6c.pdf,.pdf,19bb2d542f7e1f0a684f70c248797a21a306d50fbf9d86246ef70b47ac60e38d,pypdf_fallback,layout_quality_check,243881,,true,false,,false,
DOC000241,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Taban kemerli tip kesit.pdf,.pdf,0739a505bb03a31d9a928a532246cec81bdbdc60aff7f67d1e44fd3cc5d1da76,pypdfium2+rapidocr_torch,ocr_comparison,256811,,true,false,,false,
DOC000226,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/B3 60 ÇELİK İKSA DETAYI-Model.pdf,.pdf,c27ed860ffef1bcf970a2017a3d981893e1a79976f7d1b84166f120853ea93f2,pypdfium2+rapidocr_torch,ocr_comparison,278010,,true,true,turkish_filename,false,
DOC000038,Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,.pdf,a95c677557c8064ee02e138b9b538bd52d1151c2cedca7bc1c2a18db66e01639,pypdf_fallback,layout_quality_check,288386,,true,false,,false,
DOC000019,Leyla Literatür/TunelMaliyet/operating-costs-and-revenues-report.pdf,.pdf,fcafb5c9434d660130bf7645d163a6f1f1b387dc744013ce1c27638da1cfc856,pypdf_fallback,layout_quality_check,330026,,true,false,,false,
DOC000039,Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,.pdf,dfe9d01daa14dd6f5dd17db9037e84f2b920a31e89740b66d8ab438162ab11d0,pypdf_fallback,layout_quality_check,388953,,true,false,,false,
DOC000010,Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,.pdf,279425daaab3228f6b723aecfc8557456a726e6e3db8934acffd1855a19ed9e4,pypdf_fallback,layout_quality_check,410374,,true,false,,false,
DOC000238,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Q_tipi_celik_hasir.pdf,.pdf,b4f94b799877cc9a1caf16f554f3857d13f28a040b1c743fc79d1fec47924b22,pypdf_fallback,layout_quality_check,427360,,true,false,,false,
DOC000210,"Tünel Kazaları, Çökmeler ve Felaketler/HAWKS NEST TUNNEL DISASTER.pdf",.pdf,2dcb6b5789d6b4ec49f44392305bcaa0cb4fc8d2fb23006c3b3af95e978d83d3,pypdf_fallback,layout_quality_check,433671,,true,false,,false,
DOC000174,TAIEX Karayolu Tünellerinin Sınıflandırılması Eğitimi 16-19 Mart 2015/Updated_Survey_Road_Tunnel_Regulations_August_2011_1.pdf,.pdf,6c05ea8291c455e3f607679c63ec52f069202b7b2ab45031fd5adf6b06be93fa,pypdf_fallback,layout_quality_check,493184,,true,false,,false,
