document_id,source_file,source_relative_path,source_extension,source_sha256,previous_converter,output_md,status,started_at,finished_at,duration_seconds,error_message,chunk_count,runtime_fingerprint
DOC000240,STANDART ÇELİK HASIRLAR-TS 4559-İMO.pdf,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/STANDART ÇELİK HASIRLAR-TS 4559-İMO.pdf,.pdf,655b4197029d50bba83394e9704a2a9c6c254bb69eebf313266a8587804fa3ab,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/STANDART ÇELİK HASIRLAR-TS 4559-İMO.md,success,2026-08-13T20:08:15+00:00,2026-08-13T20:08:21+00:00,5.509,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000014,GeoMon2013Paper644_revised_final_cost.pdf,Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.pdf,.pdf,e36fdb6f7e102b86f58200ae2e89f5c300a92555e560afdd6339510ae519af28,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.md,success,2026-08-13T20:17:31+00:00,2026-08-13T20:17:34+00:00,3.062,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000041,Estimate of annual operating costs Highway Tunnel.pdf,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,.pdf,b33de96bcf1b4e6bdf99bfa40e8c182174ccd7c66ae084a49aa979ad0e50d592,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.md,quality_reject_use_baseline,2026-08-13T20:08:21+00:00,2026-08-13T20:08:24+00:00,3.297,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000070,Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775.docx,.docx,79b4e713b47ad813559ebeb269d37ed5ea60f56a1308da05d3610a2ed5578cc6,python_docx_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775.md,success,2026-08-13T20:18:18+00:00,2026-08-13T20:18:21+00:00,2.967,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000286,Makro sentetik Fiber.pptx,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Makro sentetik Fiber.pptx,.pptx,ff1e7d59fb0882df30a4378e353cd1f70a2cfeb8a45b682715a50a49c020ffe5,python_pptx_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Makro sentetik Fiber.md,success,2026-08-13T20:22:03+00:00,2026-08-13T20:22:05+00:00,2.329,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000226,B3 60 ÇELİK İKSA DETAYI-Model.pdf,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/B3 60 ÇELİK İKSA DETAYI-Model.pdf,.pdf,c27ed860ffef1bcf970a2017a3d981893e1a79976f7d1b84166f120853ea93f2,pypdfium2+rapidocr_torch,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/B3 60 ÇELİK İKSA DETAYI-Model.md,no_improvement_use_baseline,2026-08-13T20:12:14+00:00,2026-08-13T20:12:16+00:00,1.396,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000242,Taban kemersiz tip kesit.pdf,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Taban kemersiz tip kesit.pdf,.pdf,a369ef85c983f426012c2b61cddd67c99178d863bfa6eb3d6ea6889170ef8c12,pypdfium2+rapidocr_torch,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Taban kemersiz tip kesit.md,no_improvement_use_baseline,2026-08-13T20:11:59+00:00,2026-08-13T20:12:02+00:00,2.961,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000200,tunel37.pdf,Tünel Dergisi/tunel37.pdf,.pdf,670dfbfd16421be5cb705fad078e0d9de989b6d4e178f8ce2f37ef25e895d1ed,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Tünel Dergisi/tunel37.md,success,2026-08-13T21:32:46+00:00,2026-08-13T21:32:53+00:00,7.117,,5,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000204,TÜNEL SAYI-33.pdf,Tünel Dergisi/TÜNEL SAYI-33.pdf,.pdf,8ad9882f0d7ecc06121ef4bfd65613bc16a3e7dc7a5f456bf18708a5d2e134ed,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Tünel Dergisi/TÜNEL SAYI-33.md,success,2026-08-13T21:50:27+00:00,2026-08-13T21:50:33+00:00,6.893,,5,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000290,Portal Yerleşimi 24.02.2020.pptx,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Portal Yerleşimi 24.02.2020.pptx,.pptx,6b919eeca10e7371c34c364185d15bd170286dfa99714fcd60293548a45b101c,python_pptx_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Portal Yerleşimi 24.02.2020.md,success,2026-08-13T22:04:12+00:00,2026-08-13T22:04:21+00:00,9.523,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000236,KTS_2013.pdf,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/KTS_2013.pdf,.pdf,ebfb51c1916ee9728820b2995555f2e0724a477708308cefa62d0d1124314112,pypdfium2+rapidocr_torch,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/KTS_2013.md,success,2026-08-13T22:04:21+00:00,2026-08-13T22:05:07+00:00,45.241,,34,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000037,3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.pdf,Literatür ve Araştırmalar/3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.pdf,.pdf,59634dde95d44e0e192ef4a50411b951775a18bfcaa7db6bf103defe6cfb2f4c,pypdfium2+rapidocr_torch,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Literatür ve Araştırmalar/3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.md,success,2026-08-13T21:38:39+00:00,2026-08-13T21:38:50+00:00,11.458,,9,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
