document_id,source_sha256,runtime_fingerprint,baseline_converter,full_docling_status,quality_status,quality_reason,full_docling_output,baseline_output,recommended_variant,glyph_pattern_count,glyph_pattern_ratio,text_length,image_placeholder_count,review_required
DOC000240,655b4197029d50bba83394e9704a2a9c6c254bb69eebf313266a8587804fa3ab,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdf_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/STANDART ÇELİK HASIRLAR-TS 4559-İMO.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/STANDART ÇELİK HASIRLAR-TS 4559-İMO.md,full_docling,0,0.0,25385,4,false
DOC000014,e36fdb6f7e102b86f58200ae2e89f5c300a92555e560afdd6339510ae519af28,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdf_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.md,full_docling,0,0.0,29399,8,false
DOC000041,b33de96bcf1b4e6bdf99bfa40e8c182174ccd7c66ae084a49aa979ad0e50d592,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdf_fallback,quality_reject_use_baseline,rejected,image_placeholder_only|dense_glyph_code_pattern,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.md,baseline,3700,0.994089,11547,4,false
DOC000070,79b4e713b47ad813559ebeb269d37ed5ea60f56a1308da05d3610a2ed5578cc6,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_docx_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775.md,full_docling,0,0.0,30959,18,false
DOC000286,ff1e7d59fb0882df30a4378e353cd1f70a2cfeb8a45b682715a50a49c020ffe5,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_pptx_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Makro sentetik Fiber.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Makro sentetik Fiber.md,full_docling,0,0.0,5021,7,false
DOC000226,c27ed860ffef1bcf970a2017a3d981893e1a79976f7d1b84166f120853ea93f2,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdfium2+rapidocr_torch,no_improvement_use_baseline,no_improvement,docling_no_meaningful_markdown_baseline_available,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/B3 60 ÇELİK İKSA DETAYI-Model.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/B3 60 ÇELİK İKSA DETAYI-Model.md,baseline,0,0,0,0,false
DOC000242,a369ef85c983f426012c2b61cddd67c99178d863bfa6eb3d6ea6889170ef8c12,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdfium2+rapidocr_torch,no_improvement_use_baseline,no_improvement,docling_no_meaningful_markdown_baseline_available,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Taban kemersiz tip kesit.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Taban kemersiz tip kesit.md,baseline,0,0,0,0,false
DOC000200,670dfbfd16421be5cb705fad078e0d9de989b6d4e178f8ce2f37ef25e895d1ed,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdf_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Tünel Dergisi/tunel37.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Tünel Dergisi/tunel37.md,full_docling,1,3.2e-05,326063,195,false
DOC000204,8ad9882f0d7ecc06121ef4bfd65613bc16a3e7dc7a5f456bf18708a5d2e134ed,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdf_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Tünel Dergisi/TÜNEL SAYI-33.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Tünel Dergisi/TÜNEL SAYI-33.md,full_docling,0,0.0,253409,259,false
DOC000290,6b919eeca10e7371c34c364185d15bd170286dfa99714fcd60293548a45b101c,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_pptx_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Portal Yerleşimi 24.02.2020.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Portal Yerleşimi 24.02.2020.md,full_docling,0,0.0,26505,164,false
