vector_index,chunk_id,document_id,source_kind,bge_m3_token_count,eligibility_status,text_sha256
0,DOC000306-C0001,DOC000306,canonical_chunk,1013,eligible,42d61dcd723f3d63f6144feb7681523b88fbd6c150ca877e442b51c5c3ba08f1
1,DOC000001-C0001,DOC000001,canonical_chunk,511,eligible,68ba55d8fd863a3c9a79b1e94026677e9e962f343c8acf8034f25ca6231f0832
2,DOC000001-C0002,DOC000001,canonical_chunk,1378,eligible,ea22050fa336293591a04f3f0365e5a738d3a935e2b8db82470e117a1bba9975
3,DOC000001-C0003,DOC000001,canonical_chunk,437,eligible,a601acf786cef890f560847b98430b014dc92b1bf8147d7c5d55052fef85599b
4,DOC000001-C0004,DOC000001,canonical_chunk,1107,eligible,0a7656b7ee55782fdabdff7658c5c0ac470a89772d3611e362711e2e02dee970
5,DOC000001-C0005,DOC000001,canonical_chunk,584,eligible,4a347a55067740b669eca236ef94de8099a526be700e678fe3360683721001ca
6,DOC000001-C0006,DOC000001,canonical_chunk,818,eligible,caae5270ae4d72b2cc7f8c07b67b7b8f97c7ef3a0e1e00cba210714ac32b21b0
7,DOC000001-C0007,DOC000001,canonical_chunk,952,eligible,f5c544c4245bb52293eff16bca464c72132cd53a1bfb8d4d314eaaf30ac46d0f
8,DOC000001-C0008,DOC000001,canonical_chunk,1125,eligible,20fa2efcb2db30c75f4b292071f1735edbe9b665f72619ff392c9270e6cfa6dc
9,DOC000001-C0009,DOC000001,canonical_chunk,450,eligible,bec14d00691359cbc2e855aa4bdd4ca61e8c10c78eb174b2d1a8413a923e064f
10,DOC000001-C0010,DOC000001,canonical_chunk,732,eligible,834aaa1266b9dd807d7b5d7287814edebfdb76ae219e28fbadd91c4e5efcbb0e
11,DOC000001-C0011,DOC000001,canonical_chunk,981,eligible,394d329d92d0ae83f8a8f9705db8a6470f549f4cb64287e6f4685d467406bc30
12,DOC000001-C0012,DOC000001,canonical_chunk,822,eligible,704bc47e20dd6d0a1ab3dabfc75967776f8232451ac74bcbc2a0238775610381
13,DOC000001-C0013,DOC000001,canonical_chunk,1102,eligible,a99c05aef6eec2d2eb05d5a8b6bedbf7c8b5a7e47509b73c75d9cb20f30cd197
14,DOC000001-C0014,DOC000001,canonical_chunk,662,eligible,4c2f129cffb3df35afe37b13623148ec0f99467518cf5b928b601423e8ad09ef
15,DOC000001-C0015,DOC000001,canonical_chunk,527,eligible,1caf0013a5de3e65501f36a670100182fd521d1e46edfb513e2a0007e8011f9d
16,DOC000001-C0016,DOC000001,canonical_chunk,1474,eligible,912105d456a82d6290d3581acf534b7548c2c245188fe9c0cdf54ac4ce2332fe
17,DOC000001-C0017,DOC000001,canonical_chunk,403,eligible,8181e4fd89ef9303be39607998fc58e9db2cd9c8abf5b0c5a7b9ef2a6e2eebe7
18,DOC000002-C0001,DOC000002,canonical_chunk,221,eligible,2dd846814bb5ca1f3fc484fa966dc8b48888aad9dad21e756bb26ff63411552b
19,DOC000002-C0002,DOC000002,canonical_chunk,783,eligible,e0db3216674382a4ddc2ee3b32a4f2aa1dbc0d064e42d3bac979b83d571f2e0b
20,DOC000002-C0003,DOC000002,canonical_chunk,766,eligible,2ce27ae6e2f28e6c702e6f2a9a0f10a88d299c1242d82bbf919fac9a02ab8d9b
21,DOC000002-C0004,DOC000002,canonical_chunk,764,eligible,6473799789abd24f63fd6e784a214a1b569bc796c45df75480a9b9b9dfd2eca0
22,DOC000002-C0005,DOC000002,canonical_chunk,677,eligible,a70dceeebe4e810191684382e482b158cef4c47d4aeaf8a1b3eeddd12a072c85
23,DOC000002-C0006,DOC000002,canonical_chunk,940,eligible,386a2feb5a57c6faf40163222f5fb7005366ec7a2b378717dae96d3324f9cb51
24,DOC000002-C0007,DOC000002,canonical_chunk,229,eligible,6f1511273ea5f6aab41d50af724b0b3c2d8605330c1f12773a77eb3051cadc98
25,DOC000002-C0008,DOC000002,canonical_chunk,1001,eligible,56d98c5c39189e1f412234b711cdcc4c1ff292a7458a476340bd2a9b829b4aec
26,DOC000002-C0009,DOC000002,canonical_chunk,813,eligible,df83bd9979d57dfb60d144eb41988b125d2141ba74addbd869fbfb81c48fc64d
27,DOC000002-C0010,DOC000002,canonical_chunk,841,eligible,9d589e2bb986e14f2f21767f51e375714663d4f2c2d81f2fbdf0aa49bfa38db0
28,DOC000002-C0011,DOC000002,canonical_chunk,500,eligible,a7b2c9e72ed314ce00b20babdbccf9f6d8a801395c882612ac215588419cf4ac
29,DOC000002-C0012,DOC000002,canonical_chunk,1096,eligible,422a915acdf341d8f7171ca5a8b413bd18162502552b62470c23eea622f2c43b
30,DOC000002-C0013,DOC000002,canonical_chunk,1111,eligible,e394e704de713cec4b7509402e6c88791e41b1cc752844c509aa28880c97f1a4
31,DOC000002-C0014,DOC000002,canonical_chunk,764,eligible,5617144c44c6616bf6fa863c9a346932fc5f33e4973e36e08c2be4ff4fe75729
32,DOC000002-C0015,DOC000002,canonical_chunk,527,eligible,9ec98a5e99bdd0f4b06a6bc7731e9a91c57d8fbf08d207cc8807b3b5a40d3a41
33,DOC000002-C0016,DOC000002,canonical_chunk,673,eligible,c30a77a41e58fa47cb30786c0c3cb1afaeda4c96ac72333e51b937758a5b7b9a
34,DOC000002-C0017,DOC000002,canonical_chunk,1129,eligible,ff6ffdc46f0074d61e1e574f1cfe749f4d93e272c065ab91365679f421f0adfd
35,DOC000002-C0018,DOC000002,canonical_chunk,1258,eligible,7f4d4cb3802f54902fb832001a87586d0b5553673e2b3f038726c8441c0bbd8b
36,DOC000002-C0019,DOC000002,canonical_chunk,361,eligible,bc0b9ddad6adc461cf984abdb1cd42fdfdd52b704a0e5f3ed90aae4acf901a7b
37,DOC000002-C0020,DOC000002,canonical_chunk,672,eligible,a6344d7e027f6dc7538ddcc19d5558b3e1bddab00da1e0eb789d2947c43cb756
38,DOC000002-C0021,DOC000002,canonical_chunk,891,eligible,bb5ed41bcf64e51a8d0fe5c99fc1b15e37ec66e54ade0515cc5cfceef3b3f33f
39,DOC000002-C0022,DOC000002,canonical_chunk,316,eligible,b4c80a45a81131c350d7439108cb68e69f224537842815b44fadcf0c60a89a14
40,DOC000002-C0023,DOC000002,canonical_chunk,778,eligible,7cca5427aeb97ee359dfe9acb964e11f39ee49165df66838c7be8ea31c3c6c51
41,DOC000002-C0024,DOC000002,canonical_chunk,963,eligible,ac38cec4647d8588aa6d527139b07d3467501ce964fe9a176048d58e172a2077
42,DOC000002-C0025,DOC000002,canonical_chunk,724,eligible,6f207f5db9c521bbe108cd0392bcc73a87a6f9909bfa582e3f580e7c49a39337
43,DOC000002-C0026,DOC000002,canonical_chunk,1039,eligible,c0cef1f7a3291a1f95b2cf5ddfc6a3cb15c064f639db9e6682a45ee23f51ed76
44,DOC000002-C0027,DOC000002,canonical_chunk,1175,eligible,e7a6011108de926437255b19b471833fda703b080f64263388103215a02e7650
45,DOC000002-C0028,DOC000002,canonical_chunk,1027,eligible,70f619d63908484c55960e7b8abca49575c508fd7733fadff90f0dbba20db656
46,DOC000002-C0029,DOC000002,canonical_chunk,680,eligible,1d58d91dda8a4d09f0a4e86c709a0ff8d95d88131a41972b577e2e7e6944cc1d
47,DOC000002-C0030,DOC000002,canonical_chunk,881,eligible,a680a4043cd3d38dfae942fd9dda70a82d764aa8873d4d7bfe17137ef5ebd043
48,DOC000002-C0031,DOC000002,canonical_chunk,1098,eligible,c86414cfb77b4c9057a98e7a9a27401e9e4895cf30f362c8225f79ed346d3bf4
49,DOC000002-C0032,DOC000002,canonical_chunk,1112,eligible,07124ea6ac6319ccc7088d518a4421a06f2e0963abb1e7b2abea9bbf5885e572
50,DOC000002-C0033,DOC000002,canonical_chunk,1081,eligible,b85599fc5fd5ca05c34011646e24434f8e51c6899146ca0b51891c8db454e652
51,DOC000002-C0034,DOC000002,canonical_chunk,1084,eligible,69e1f21fa32bbd884426975183e694499785b40be75a1c6dceb3e6ac0e6f3116
52,DOC000002-C0035,DOC000002,canonical_chunk,1117,eligible,85c680bdf7e6ccc4ee13789837e3ceb5cecfdcfd2d74eb5d55899ecb93bd2c19
53,DOC000002-C0036,DOC000002,canonical_chunk,338,eligible,28c4608e930d86a038f3cc994b51e3e5f519d5f137ed4d506e3d2d5db7c64372
54,DOC000002-C0037,DOC000002,canonical_chunk,917,eligible,68175eaa14ceddf4c6860369be4c69bc2ae83e3049ae1eaacf69c307811251b5
55,DOC000002-C0038,DOC000002,canonical_chunk,1006,eligible,5833c9709700197fcc9604f8e303dfdbbc8516d079e10db9494fbe4906b7ec6e
56,DOC000002-C0039,DOC000002,canonical_chunk,912,eligible,eedc1f664cc77053fd3c746bf721de9f63dd354a9416e54c619885b50fefaac8
57,DOC000002-C0040,DOC000002,canonical_chunk,1100,eligible,fc331583c4d4ca0a26e0419467fca8b3bac9706bf03722fa9fccf3d942ec5f76
58,DOC000002-C0041,DOC000002,canonical_chunk,1196,eligible,50444ab38073c9d32a6fb007305030245ab7738c6716732f131a03dd77f23c21
59,DOC000002-C0042,DOC000002,canonical_chunk,184,eligible,be135ee6f176ee9e5d2ba55a7e0eaed82a143499dbba9ad53c7fed911f420886
60,DOC000002-C0043,DOC000002,canonical_chunk,574,eligible,3cbd9b251454e4676557a7e78fe07e5ef1dd7cb0baf3cc9c44699435fabb4334
61,DOC000002-C0044,DOC000002,canonical_chunk,449,eligible,415d78c9b22e6f6bf2dc7ab3ef99a14e467566ed892b3c948dd41e3aeafa2e7a
62,DOC000002-C0045,DOC000002,canonical_chunk,161,eligible,8c73e286c22d38ad83dd1ea2725c24f3df3c5efd138777403c37ea1cc664d160
63,DOC000002-C0046,DOC000002,canonical_chunk,219,eligible,cf65db6d47645a6bd3f3e0175fa246cdf4e6caf9d5aa71265725ea3d1a785fb5
64,DOC000002-C0047,DOC000002,canonical_chunk,583,eligible,25d6015ae0e3b45871f03b5e1f6e092df1ee4d9e802b4eb42d0ab5e1662d963b
65,DOC000002-C0048,DOC000002,canonical_chunk,453,eligible,717c390f85d028417de4401fd98e68ee52d518907b9a84b8828fefaba2a0d4c5
66,DOC000002-C0049,DOC000002,canonical_chunk,608,eligible,82fe36fa2b9014062d5bcb3a65a2b16dce2f6bccb8da87072252cb783f92b333
67,DOC000002-C0050,DOC000002,canonical_chunk,778,eligible,04913e7b3976447ab07c6f7b75a10ed63383728d39e85205f0227fe4ca377598
68,DOC000002-C0051,DOC000002,canonical_chunk,330,eligible,b523acfae1b6f4354b1983ad5a38bef2e4b7b32cb5f07f8be51493260371521f
69,DOC000002-C0052,DOC000002,canonical_chunk,808,eligible,4c41879d81151021a55c6da1e7660173ac205d0ce9450ef08ef9c78f2790aa52
70,DOC000002-C0053,DOC000002,canonical_chunk,943,eligible,a4371915c8c2398f7651934d7e00eaea01501592ddd0a3706bef38ec07c286a2
71,DOC000002-C0054,DOC000002,canonical_chunk,885,eligible,f50de1546cd8a9b4d542816cd9220aaa0e6e2caef86a4e4fe530d784e30ead3b
72,DOC000002-C0055,DOC000002,canonical_chunk,1067,eligible,a08380d7f259bff732ca8b7538f3692d8f7c6e7dfe544666b5f71c54067b99b3
73,DOC000002-C0056,DOC000002,canonical_chunk,368,eligible,2ba30871cc292ece773972d21b7ac299afda40c82e8ba3e6813808050d90d5c2
74,DOC000002-C0057,DOC000002,canonical_chunk,1105,eligible,799374edb08f16b0d031304c987df0cfbb197467ce6a3f9c6990d8afa15729f2
75,DOC000002-C0058,DOC000002,canonical_chunk,192,eligible,d4fd4c4a505e1a551c07d7c7280fe5dfe97575eb4a410e0ebe192c2966dd04dd
