document_id,title,source_file,source_relative_path,source_extension,sha256,language,document_type,organization,year,authority_level,topics,duplicate_group,preferred_variant,conversion_engine,markdown_file
DOC000001,1-s2.0-S0886779816307866-main,1-s2.0-S0886779816307866-main.pdf,Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.pdf,.pdf,1980884f21bd5c134c8e603a62bc715204b58c5d43382eb7b89a5779e380e1c7,,unknown,,,,,EXACT00001,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\1-s2.0-S0886779816307866-main.md
DOC000002,12229738_04,12229738_04.pdf,Leyla Literatür/TunelMaliyet/12229738_04.pdf,.pdf,a9dc4c909c9d5972c9b348bc14fa59991b7d0d4e8eb79cd73b9d771cb26ef49b,,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\12229738_04.md
DOC000003,13965,13965.pdf,Leyla Literatür/TunelMaliyet/13965.pdf,.pdf,e4e696e67dc8f1675451c38298acc0ee645ade4b74d8dea722d77cd210551d15,,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\13965.md
DOC000004,1999 05.06.B Chap 7 EN,1999 05.06.B Chap 7 EN.pdf,Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.pdf,.pdf,77cf2eb068cd0f71b6f6069617f35886b8f6fb4f66e7f4d78aae7b8de6935a72,,unknown,,1999,,,EXACT00002,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\1999 05.06.B Chap 7 EN.md
DOC000005,3433030499-627,3433030499-627.pdf,Leyla Literatür/TunelMaliyet/3433030499-627.pdf,.pdf,88542183b3fa42e9a11933065239cd73839b62ba311a4c1705f13390b5561285,,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\3433030499-627.md
DOC000006,3433030499-628,3433030499-628.pdf,Leyla Literatür/TunelMaliyet/3433030499-628.pdf,.pdf,197ca69742a7143371e57de84424bf6efb817fc1e24298cd742ead68da45b06b,,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\3433030499-628.md
DOC000007,3433030499-629,3433030499-629.pdf,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,.pdf,f7364cfe35d103c795f3d2e5f31ce0dba9e072a5a7e070766682abe73f365b83,,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\3433030499-629.md
DOC000009,AppendixF,AppendixF.pdf,Leyla Literatür/TunelMaliyet/AppendixF.pdf,.pdf,a11326648f705babf4f9c91a9092d8833da40a7faf35e15ec6495b13fd30a412,,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\AppendixF.md
DOC000010,Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _,Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,.pdf,279425daaab3228f6b723aecfc8557456a726e6e3db8934acffd1855a19ed9e4,,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.md
DOC000011,ConstructionCost-annex_13_case_study_tunneling,ConstructionCost-annex_13_case_study_tunneling.pdf,Leyla Literatür/TunelMaliyet/ConstructionCost-annex_13_case_study_tunneling.pdf,.pdf,132bdd29ff845933c0d02d8d129b902bc6e6a696d01dee2b9645f09f7e94fd2d,,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\ConstructionCost-annex_13_case_study_tunneling.md
DOC000012,COSTS OF CONSTRUCTION_Tunnel,COSTS OF CONSTRUCTION_Tunnel.docx,Leyla Literatür/TunelMaliyet/COSTS OF CONSTRUCTION_Tunnel.docx,.docx,3cf8e7e534d4363e9c7cd595883bdba4d4e935a1e04a3ac728ad87b2f0e47f4a,,unknown,,,,,,True,docling,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\COSTS OF CONSTRUCTION_Tunnel.md
DOC000013,Estimation_of_Annual_Routine_Maintenance_Cost_for_,Estimation_of_Annual_Routine_Maintenance_Cost_for_.pdf,Leyla Literatür/TunelMaliyet/Estimation_of_Annual_Routine_Maintenance_Cost_for_.pdf,.pdf,e9bce09c7035ac5c141dea236fcfd694e507faf2ccba90f6e0e21f29b3ecaa4f,,unknown,,,,maintenance,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\Estimation_of_Annual_Routine_Maintenance_Cost_for_.md
DOC000014,GeoMon2013Paper644_revised_final_cost,GeoMon2013Paper644_revised_final_cost.pdf,Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.pdf,.pdf,e36fdb6f7e102b86f58200ae2e89f5c300a92555e560afdd6339510ae519af28,,unknown,,2013,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\GeoMon2013Paper644_revised_final_cost.md
DOC000015,hif15005,hif15005.pdf,Leyla Literatür/TunelMaliyet/hif15005.pdf,.pdf,b6a2b2e47753afe8699c10da551fe4afc311dcac8f4504a34c8e83d71fd157c8,,unknown,,,,,EXACT00004,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\hif15005.md
DOC000016,HS2_Guide_to_Tunnelling_Costs,HS2_Guide_to_Tunnelling_Costs.pdf,Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.pdf,.pdf,376b6902031fe537a68c4606bbc954db0a2583e517f679e65b8aeded512e39cd,,unknown,,,,,EXACT00005,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\HS2_Guide_to_Tunnelling_Costs.md
DOC000017,IRJET-V8I7794,IRJET-V8I7794.pdf,Leyla Literatür/TunelMaliyet/IRJET-V8I7794.pdf,.pdf,046493eef6fb4c973116c6e2a44114ce27376a2cb6b3f8eaf3fe750885c8f5f4,en,unknown,,,,operation|cost,,True,docling,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\IRJET-V8I7794.md
DOC000018,low-cost-tunnels-rural-roads-asia-pacific,low-cost-tunnels-rural-roads-asia-pacific.pdf,Leyla Literatür/TunelMaliyet/low-cost-tunnels-rural-roads-asia-pacific.pdf,.pdf,fe0cf79aab020b9dbf9747771619dc0aabe44dfd82d98aa47cae335893e49886,,unknown,,,,cost,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\low-cost-tunnels-rural-roads-asia-pacific.md
DOC000019,operating-costs-and-revenues-report,operating-costs-and-revenues-report.pdf,Leyla Literatür/TunelMaliyet/operating-costs-and-revenues-report.pdf,.pdf,fcafb5c9434d660130bf7645d163a6f1f1b387dc744013ce1c27638da1cfc856,,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\operating-costs-and-revenues-report.md
DOC000020,THICKI01_TALK,THICKI01_TALK.pdf,Leyla Literatür/TunelMaliyet/THICKI01_TALK.pdf,.pdf,6935929ec3c5b865ccdbc939924945c3b5a05459da955ce7417a6f72c076f16e,,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\THICKI01_TALK.md
DOC000021,Tunnel - Wikipedia,Tunnel - Wikipedia.pdf,Leyla Literatür/TunelMaliyet/Tunnel - Wikipedia.pdf,.pdf,3b8ddd107873155e0aeb2cadc12651707e75ab95a0d2855fb4100996fae4955e,,web_article,,,D,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\Tunnel - Wikipedia.md
