document_id,field,current_value,deterministic_suggestion,llm_suggestion,selected_candidate,evidence,confidence,agreement_status,adjudication_status,adjudication_reason,review_priority,source_sha256
DOC000001,year,,,2017,,Accepted 22 February 2017,high,llm_only,human_review_required,field_specific_year_identity_or_publication_check_required,P1,1980884f21bd5c134c8e603a62bc715204b58c5d43382eb7b89a5779e380e1c7
DOC000001,document_type,unknown,unknown,academic_article,,Tunnelling and Underground Space Technology journal article,high,llm_only,human_review_required,field_specific_document_type_identity_or_publication_check_required,P1,1980884f21bd5c134c8e603a62bc715204b58c5d43382eb7b89a5779e380e1c7
DOC000001,authority_level,,unclassified,B,B,Academic journal article from Elsevier,high,llm_only,auto_safe_candidate,llm_grounded_auto_safe,NONBLOCKING,1980884f21bd5c134c8e603a62bc715204b58c5d43382eb7b89a5779e380e1c7
DOC000002,title,,12229738_04,CHAPTER 14 OPERATIONS AND MAINTENANCE OF THE PROJECT,,CHAPTER 14 OPERATIONS AND MAINTENANCE OF THE PROJECT,high,deterministic_llm_conflict,human_review_required,strong_deterministic_llm_conflict,P0,a9dc4c909c9d5972c9b348bc14fa59991b7d0d4e8eb79cd73b9d771cb26ef49b
DOC000002,organization,,,JICA Survey Team,,Source: JICA Survey Team,high,llm_only,human_review_required,field_specific_organization_identity_or_publication_check_required,P1,a9dc4c909c9d5972c9b348bc14fa59991b7d0d4e8eb79cd73b9d771cb26ef49b
DOC000002,year,,,,,[evidence_not_grounded_in_context],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,a9dc4c909c9d5972c9b348bc14fa59991b7d0d4e8eb79cd73b9d771cb26ef49b
DOC000002,authority_level,,unclassified,unclassified,,Source: JICA Survey Team [authority_B_evidence_class_mismatch],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,a9dc4c909c9d5972c9b348bc14fa59991b7d0d4e8eb79cd73b9d771cb26ef49b
DOC000003,title,,13965,Making Transportation Tunnels Safe and Secure,,Making Transportation Tunnels Safe and Secure (2006),high,deterministic_llm_conflict,human_review_required,strong_deterministic_llm_conflict,P0,e4e696e67dc8f1675451c38298acc0ee645ade4b74d8dea722d77cd210551d15
DOC000003,year,,,2006,,Making Transportation Tunnels Safe and Secure (2006),high,llm_only,human_review_required,field_specific_year_identity_or_publication_check_required,P1,e4e696e67dc8f1675451c38298acc0ee645ade4b74d8dea722d77cd210551d15
DOC000003,authority_level,,B,unclassified,,Transit Cooperative Research Program conducted by the Transportation Research Board with the approval of the Governing Board of the National Research Council. [authority_A_evidence_class_mismatch],low,unresolved,unresolved_nonblocking,no_grounded_value_found,NONBLOCKING,e4e696e67dc8f1675451c38298acc0ee645ade4b74d8dea722d77cd210551d15
DOC000004,organization,,,PIARC,,"The PIARC report ""Classification of tunnels"" (1995) contains the following statement: 'There is growing interest in the use of classification systems for establishing consistent, safe and economic standards for equipping, operating, maintaining and refurbishing road tunnels.'",high,llm_only,human_review_required,field_specific_organization_identity_or_publication_check_required,P1,77cf2eb068cd0f71b6f6069617f35886b8f6fb4f66e7f4d78aae7b8de6935a72
