priority,document_id,source_relative_path,reason,rule,source_excerpt,normalized_excerpt,review_status,reviewer_note
P1,DOC000003,Leyla Literatür/TunelMaliyet/13965.pdf,repeated_header_footer_candidate_not_removed:(continued on next page),header_footer,(continued on next page),(continued on next page),pending,
P1,DOC000013,Leyla Literatür/TunelMaliyet/Estimation_of_Annual_Routine_Maintenance_Cost_for_.pdf,replacement_character_marked_unresolved,replacement_character,�,[UNRESOLVED_CHAR],pending,
P1,DOC000047,Literatür ve Araştırmalar/tunnel_manual_FHWA.pdf,repeated_header_footer_candidate_not_removed:This page is intentionally left blank.,header_footer,This page is intentionally left blank.,This page is intentionally left blank.,pending,
P1,DOC000073,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/SinaKiziroglu.docx,repeated_header_footer_candidate_not_removed:[**www.kgm.gov.tr**](http://www.kgm.gov.tr/),header_footer,[**www.kgm.gov.tr**](http://www.kgm.gov.tr/),[**www.kgm.gov.tr**](http://www.kgm.gov.tr/),pending,
P1,DOC000128,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Merih Ozgen.pdf,repeated_header_footer_candidate_not_removed:www.vizyon2023turkiye.org,header_footer,www.vizyon2023turkiye.org,www.vizyon2023turkiye.org,pending,
P1,DOC000153,Sunumlar_2022/10_Use of Foams for the Soil Conditioning in Excavations with EPB-TBMs - Envionmental Approach.pdf,repeated_header_footer_candidate_not_removed:www.tunnelturkey.org | www.tunnelturkey.org BUILDING TRUST,header_footer,www.tunnelturkey.org,www.tunnelturkey.org,pending,
P1,DOC000154,Sunumlar_2022/11_A Tunnelling Experience in Difficult Ground Conditions in the Himalayas.pdf,repeated_header_footer_candidate_not_removed:www.tunnelturkey.org,header_footer,www.tunnelturkey.org,www.tunnelturkey.org,pending,
P1,DOC000156,Sunumlar_2022/12_2_Fire Safety in Tunnels.pdf,repeated_header_footer_candidate_not_removed:www.tunnelturkey.org,header_footer,www.tunnelturkey.org,www.tunnelturkey.org,pending,
P1,DOC000157,Sunumlar_2022/1_Professor Arnold Dix_People and Planet – how to get finance for new projects that mitigate the perils of Climate Change now.pdf,repeated_header_footer_candidate_not_removed:www.tunnelturkey.org,header_footer,www.tunnelturkey.org,www.tunnelturkey.org,pending,
P1,DOC000159,Sunumlar_2022/3_HIZRAY Project and Planned Future of Istanbul Metro Works.pdf,repeated_header_footer_candidate_not_removed:12/4/2022,header_footer,12/4/2022,12/4/2022,pending,
P1,DOC000160,"Sunumlar_2022/4_International Projects of Yapi Merkezi, Administrative Difficulties Encountered.pdf",repeated_header_footer_candidate_not_removed:www.tunnelturkey.org,header_footer,www.tunnelturkey.org,www.tunnelturkey.org,pending,
P1,DOC000161,"Sunumlar_2022/5_Past, Present and Future of Izmir Metro Works.pdf",repeated_header_footer_candidate_not_removed:www.tunnelturkey.org,header_footer,www.tunnelturkey.org,www.tunnelturkey.org,pending,
P1,DOC000163,Sunumlar_2022/7_Tunnel Projects in Indonesia and the Far East Opportunities for Turkish Contractors.pdf,repeated_header_footer_candidate_not_removed:www.tunnelturkey.org,header_footer,www.tunnelturkey.org,www.tunnelturkey.org,pending,
P1,DOC000165,Sunumlar_2022/9_Final Lining Design Approach for Reduction Tunnels.pdf,repeated_header_footer_candidate_not_removed:www.tunnelturkey.org,header_footer,www.tunnelturkey.org,www.tunnelturkey.org,pending,
P1,DOC000176,Tünel Dergisi/E-Dergi_Tünel 45_r.pdf,replacement_character_marked_unresolved,replacement_character,�,[UNRESOLVED_CHAR],pending,
P1,DOC000177,Tünel Dergisi/E-dergi_Tünel-35.pdf,replacement_character_marked_unresolved,replacement_character,�,[UNRESOLVED_CHAR],pending,
P1,DOC000193,Tünel Dergisi/Tunel Dergi Sayi 40.pdf,replacement_character_marked_unresolved,replacement_character,�,[UNRESOLVED_CHAR],pending,
P1,DOC000194,Tünel Dergisi/Tunel Dergisi 1.pdf,replacement_character_marked_unresolved,replacement_character,�,[UNRESOLVED_CHAR],pending,
P1,DOC000195,Tünel Dergisi/Tunel Dergisi 2.pdf,replacement_character_marked_unresolved,replacement_character,�,[UNRESOLVED_CHAR],pending,
P1,DOC000196,Tünel Dergisi/Tunel Dergisi 3.pdf,replacement_character_marked_unresolved,replacement_character,�,[UNRESOLVED_CHAR],pending,
P1,DOC000197,Tünel Dergisi/Tunel Dergisi 4.pdf,repeated_header_footer_candidate_not_removed:www.tuneldergisi.com; replacement_character_marked_unresolved,header_footer,www.tuneldergisi.com,www.tuneldergisi.com,pending,
P1,DOC000198,Tünel Dergisi/Tunel Dergisi 5.pdf,replacement_character_marked_unresolved,replacement_character,�,[UNRESOLVED_CHAR],pending,
P1,DOC000199,Tünel Dergisi/Tunel Dergisi 6.pdf,replacement_character_marked_unresolved,replacement_character,�,[UNRESOLVED_CHAR],pending,
P1,DOC000200,Tünel Dergisi/tunel37.pdf,replacement_character_marked_unresolved,replacement_character,�,[UNRESOLVED_CHAR],pending,
P1,DOC000201,Tünel Dergisi/Tünel 42-E-dergi_2.pdf,replacement_character_marked_unresolved,replacement_character,�,[UNRESOLVED_CHAR],pending,
P1,DOC000202,Tünel Dergisi/Tünel 44_red.pdf,replacement_character_marked_unresolved,replacement_character,�,[UNRESOLVED_CHAR],pending,
P1,DOC000203,Tünel Dergisi/Tünel 51_red (1).pdf,replacement_character_marked_unresolved,replacement_character,�,[UNRESOLVED_CHAR],pending,
P1,DOC000204,Tünel Dergisi/TÜNEL SAYI-33.pdf,replacement_character_marked_unresolved,replacement_character,�,[UNRESOLVED_CHAR],pending,
P1,DOC000207,Tünel Dergisi/Tünel-e-dergi-43_red.pdf,replacement_character_marked_unresolved,replacement_character,�,[UNRESOLVED_CHAR],pending,
