duplicate_group_id,canonical_candidate,document_id,file_name,relative_path,extension,size_bytes,sha256
EXACT00001,True,DOC000001,1-s2.0-S0886779816307866-main.pdf,Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.pdf,.pdf,1356072,1980884f21bd5c134c8e603a62bc715204b58c5d43382eb7b89a5779e380e1c7
EXACT00001,False,DOC000026,1-s2.0-S0886779816307866-main (2).pdf,Leyla Literatür/Tünel/1-s2.0-S0886779816307866-main (2).pdf,.pdf,1356072,1980884f21bd5c134c8e603a62bc715204b58c5d43382eb7b89a5779e380e1c7
EXACT00002,True,DOC000004,1999 05.06.B Chap 7 EN.pdf,Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.pdf,.pdf,61317,77cf2eb068cd0f71b6f6069617f35886b8f6fb4f66e7f4d78aae7b8de6935a72
EXACT00002,False,DOC000040,Cost of Maintenance_Piarc.pdf,Literatür ve Araştırmalar/Cost of Maintenance_Piarc.pdf,.pdf,61317,77cf2eb068cd0f71b6f6069617f35886b8f6fb4f66e7f4d78aae7b8de6935a72
EXACT00003,True,DOC000038,An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,.pdf,288386,a95c677557c8064ee02e138b9b538bd52d1151c2cedca7bc1c2a18db66e01639
EXACT00003,False,DOC000008,An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project[#473343]-558531.pdf,Leyla Literatür/TunelMaliyet/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project[#473343]-558531.pdf,.pdf,288386,a95c677557c8064ee02e138b9b538bd52d1151c2cedca7bc1c2a18db66e01639
EXACT00004,True,DOC000015,hif15005.pdf,Leyla Literatür/TunelMaliyet/hif15005.pdf,.pdf,15821876,b6a2b2e47753afe8699c10da551fe4afc311dcac8f4504a34c8e83d71fd157c8
EXACT00004,False,DOC000046,"Tunnel Operations, Maintenance, Inspectionand Evaluation Manual.pdf","Literatür ve Araştırmalar/Tunnel Operations, Maintenance, Inspectionand Evaluation Manual.pdf",.pdf,15821876,b6a2b2e47753afe8699c10da551fe4afc311dcac8f4504a34c8e83d71fd157c8
EXACT00005,True,DOC000016,HS2_Guide_to_Tunnelling_Costs.pdf,Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.pdf,.pdf,506043,376b6902031fe537a68c4606bbc954db0a2583e517f679e65b8aeded512e39cd
EXACT00005,False,DOC000043,HS2_Guide_to_Tunnelling_Costs.pdf,Literatür ve Araştırmalar/HS2_Guide_to_Tunnelling_Costs.pdf,.pdf,506043,376b6902031fe537a68c4606bbc954db0a2583e517f679e65b8aeded512e39cd
EXACT00006,True,DOC000127,M.Kemal Akman.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/M.Kemal Akman.pdf,.pdf,14996763,752100774713db4bce1bba84ccbd571af14868359841be4afb343ab4b4e4328f
