logical_group_id,document_id,file_name,relative_path,extension,normalized_title,match_method,confidence,preferred_source
LOGICAL00001,DOC000109,00_Program.docx,Mehmet/Literatur/Wordler/YTMK/2015/00_Program.docx,.docx,00 program,exact_normalized_title,high,True
LOGICAL00001,DOC000135,00_Program.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/00_Program.pdf,.pdf,00 program,exact_normalized_title,high,False
LOGICAL00002,DOC000110,01_TUG_NATM.docx,Mehmet/Literatur/Wordler/YTMK/2015/01_TUG_NATM.docx,.docx,01 tug natm,exact_normalized_title,high,True
LOGICAL00002,DOC000136,01_TUG_NATM.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/01_TUG_NATM.pdf,.pdf,01 tug natm,exact_normalized_title,high,False
LOGICAL00003,DOC000111,02_3G_Investigation_strategy_AFa.docx,Mehmet/Literatur/Wordler/YTMK/2015/02_3G_Investigation_strategy_AFa.docx,.docx,02 3g investigation strategy afa,exact_normalized_title,high,True
LOGICAL00003,DOC000137,02_3G_Investigation_strategy_AFa.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/02_3G_Investigation_strategy_AFa.pdf,.pdf,02 3g investigation strategy afa,exact_normalized_title,high,False
LOGICAL00004,DOC000112,03_IGT-Influence_of_codes_guidelines_and_other_regulations_on_the_tunnel_design_in_Austria.docx,Mehmet/Literatur/Wordler/YTMK/2015/03_IGT-Influence_of_codes_guidelines_and_other_regulations_on_the_tunnel_design_in_Austria.docx,.docx,03 igt influence of codes guidelines and other regulations on the tunnel design in austria,exact_normalized_title,high,True
LOGICAL00004,DOC000138,03_IGT-Influence_of_codes_guidelines_and_other_regulations_on_the_tunnel_design_in_Austria.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/03_IGT-Influence_of_codes_guidelines_and_other_regulations_on_the_tunnel_design_in_Austria.pdf,.pdf,03 igt influence of codes guidelines and other regulations on the tunnel design in austria,exact_normalized_title,high,False
LOGICAL00005,DOC000113,04_TUG_Risk_oriented_design.docx,Mehmet/Literatur/Wordler/YTMK/2015/04_TUG_Risk_oriented_design.docx,.docx,04 tug risk oriented design,exact_normalized_title,high,True
LOGICAL00005,DOC000139,04_TUG_Risk_oriented_design.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/04_TUG_Risk_oriented_design.pdf,.pdf,04 tug risk oriented design,exact_normalized_title,high,False
LOGICAL00006,DOC000114,05_IGT-Design_of_tunnels_in_various_rock_conditions.docx,Mehmet/Literatur/Wordler/YTMK/2015/05_IGT-Design_of_tunnels_in_various_rock_conditions.docx,.docx,05 igt design of tunnels in various rock conditions,exact_normalized_title,high,True
LOGICAL00006,DOC000140,05_IGT-Design_of_tunnels_in_various_rock_conditions.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/05_IGT-Design_of_tunnels_in_various_rock_conditions.pdf,.pdf,05 igt design of tunnels in various rock conditions,exact_normalized_title,high,False
LOGICAL00007,DOC000115,06_OBB_Koralm_HW.docx,Mehmet/Literatur/Wordler/YTMK/2015/06_OBB_Koralm_HW.docx,.docx,06 obb koralm hw,exact_normalized_title,high,True
LOGICAL00007,DOC000141,06_OBB_Koralm_HW.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/06_OBB_Koralm_HW.pdf,.pdf,06 obb koralm hw,exact_normalized_title,high,False
LOGICAL00008,DOC000116,07_TUG_support_weak_ground.docx,Mehmet/Literatur/Wordler/YTMK/2015/07_TUG_support_weak_ground.docx,.docx,07 tug support weak ground,exact_normalized_title,high,True
LOGICAL00008,DOC000142,07_TUG_support_weak_ground.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/07_TUG_support_weak_ground.pdf,.pdf,07 tug support weak ground,exact_normalized_title,high,False
LOGICAL00009,DOC000117,09_TUG_Monitoring.docx,Mehmet/Literatur/Wordler/YTMK/2015/09_TUG_Monitoring.docx,.docx,09 tug monitoring,exact_normalized_title,high,True
LOGICAL00009,DOC000143,09_TUG_Monitoring.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/09_TUG_Monitoring.pdf,.pdf,09 tug monitoring,exact_normalized_title,high,False
LOGICAL00010,DOC000118,10_OBB_SiteOrganHW.docx,Mehmet/Literatur/Wordler/YTMK/2015/10_OBB_SiteOrganHW.docx,.docx,10 obb siteorganhw,exact_normalized_title,high,True
LOGICAL00010,DOC000144,10_OBB_SiteOrganHW.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/10_OBB_SiteOrganHW.pdf,.pdf,10 obb siteorganhw,exact_normalized_title,high,False
LOGICAL00011,DOC000119,11_IGT-Supplementary_jet_grouting_at_metro_Vienna_Lot_U1-10.docx,Mehmet/Literatur/Wordler/YTMK/2015/11_IGT-Supplementary_jet_grouting_at_metro_Vienna_Lot_U1-10.docx,.docx,11 igt supplementary jet grouting at metro vienna lot u1 10,exact_normalized_title,high,True
LOGICAL00011,DOC000146,11_IGT-Supplementary_jet_grouting_at_metro_Vienna_Lot_U1-10.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/11_IGT-Supplementary_jet_grouting_at_metro_Vienna_Lot_U1-10.pdf,.pdf,11 igt supplementary jet grouting at metro vienna lot u1 10,exact_normalized_title,high,False
LOGICAL00012,DOC000120,12_TUG_contract.docx,Mehmet/Literatur/Wordler/YTMK/2015/12_TUG_contract.docx,.docx,12 tug contract,exact_normalized_title,high,True
LOGICAL00012,DOC000147,12_TUG_contract.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/12_TUG_contract.pdf,.pdf,12 tug contract,exact_normalized_title,high,False
