document_id,file_name,stem,extension,absolute_path,relative_path,parent_folder,size_bytes,size_mb,created_time,modified_time,sha256,mime_type,is_supported,conversion_candidate,hash_error
DOC000001,1-s2.0-S0886779816307866-main.pdf,1-s2.0-S0886779816307866-main,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\1-s2.0-S0886779816307866-main.pdf,Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.pdf,Leyla Literatür/TunelMaliyet,1356072,1.293251,2026-08-12T19:11:11+03:00,2024-02-08T16:59:03+03:00,1980884f21bd5c134c8e603a62bc715204b58c5d43382eb7b89a5779e380e1c7,application/pdf,True,True,
DOC000002,12229738_04.pdf,12229738_04,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\12229738_04.pdf,Leyla Literatür/TunelMaliyet/12229738_04.pdf,Leyla Literatür/TunelMaliyet,3010069,2.870625,2026-08-12T19:11:11+03:00,2024-02-07T16:25:29+03:00,a9dc4c909c9d5972c9b348bc14fa59991b7d0d4e8eb79cd73b9d771cb26ef49b,application/pdf,True,True,
DOC000003,13965.pdf,13965,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\13965.pdf,Leyla Literatür/TunelMaliyet/13965.pdf,Leyla Literatür/TunelMaliyet,7093307,6.764705,2026-08-12T19:11:11+03:00,2021-09-08T15:58:02+03:00,e4e696e67dc8f1675451c38298acc0ee645ade4b74d8dea722d77cd210551d15,application/pdf,True,True,
DOC000004,1999 05.06.B Chap 7 EN.pdf,1999 05.06.B Chap 7 EN,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\1999 05.06.B Chap 7 EN.pdf,Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.pdf,Leyla Literatür/TunelMaliyet,61317,0.058476,2026-08-12T19:11:11+03:00,2021-09-08T16:26:56+03:00,77cf2eb068cd0f71b6f6069617f35886b8f6fb4f66e7f4d78aae7b8de6935a72,application/pdf,True,True,
DOC000005,3433030499-627.pdf,3433030499-627,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\3433030499-627.pdf,Leyla Literatür/TunelMaliyet/3433030499-627.pdf,Leyla Literatür/TunelMaliyet,1423474,1.357531,2026-08-12T19:11:11+03:00,2021-09-08T15:41:25+03:00,88542183b3fa42e9a11933065239cd73839b62ba311a4c1705f13390b5561285,application/pdf,True,True,
DOC000006,3433030499-628.pdf,3433030499-628,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\3433030499-628.pdf,Leyla Literatür/TunelMaliyet/3433030499-628.pdf,Leyla Literatür/TunelMaliyet,798450,0.761461,2026-08-12T19:11:11+03:00,2021-09-08T15:42:14+03:00,197ca69742a7143371e57de84424bf6efb817fc1e24298cd742ead68da45b06b,application/pdf,True,True,
DOC000007,3433030499-629.pdf,3433030499-629,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\3433030499-629.pdf,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,Leyla Literatür/TunelMaliyet,823818,0.785654,2026-08-12T19:11:11+03:00,2021-09-08T15:41:55+03:00,f7364cfe35d103c795f3d2e5f31ce0dba9e072a5a7e070766682abe73f365b83,application/pdf,True,True,
DOC000008,An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project[#473343]-558531.pdf,An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project[#473343]-558531,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project[#473343]-558531.pdf,Leyla Literatür/TunelMaliyet/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project[#473343]-558531.pdf,Leyla Literatür/TunelMaliyet,288386,0.275026,2026-08-12T19:11:11+03:00,2024-02-07T16:19:58+03:00,a95c677557c8064ee02e138b9b538bd52d1151c2cedca7bc1c2a18db66e01639,application/pdf,True,True,
DOC000009,AppendixF.pdf,AppendixF,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\AppendixF.pdf,Leyla Literatür/TunelMaliyet/AppendixF.pdf,Leyla Literatür/TunelMaliyet,125148,0.11935,2026-08-12T19:11:11+03:00,2024-02-07T14:15:49+03:00,a11326648f705babf4f9c91a9092d8833da40a7faf35e15ec6495b13fd30a412,application/pdf,True,True,
DOC000010,Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,Leyla Literatür/TunelMaliyet,410374,0.391363,2026-08-12T19:11:11+03:00,2021-09-08T16:00:37+03:00,279425daaab3228f6b723aecfc8557456a726e6e3db8934acffd1855a19ed9e4,application/pdf,True,True,
