document_id,canonical_id,title,source,document_type,source_tier,primary_section,secondary_sections,confidence,evidence_level,reason_for_review,url,local_path
10.1038/s41598-025-34273-z,CAN_0F04B9F73832E6132654,Machine learning approach for prediction of TBM performance and risk of jamming in Himalayan geology using a cross-project tunnelling database.,europe_pmc,journal_article,TIER_B,2.4.1,,0.85,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/Machine_learning_approach_for_prediction_of_TBM_performance_and_risk_of_jamming_in_Himalayan_geology.pdf
10.3390/s26123958,CAN_573161FE35F87ACFFA37,Trustworthy Cyber-Physical Edge-SHM Architecture for Operational Underground Tunnel Crack Monitoring Under Resource-Constrained Conditions.,europe_pmc,journal_article,TIER_B,2.4.1.3,1.4;5.4.1;5.9.2;5.9,0.6113,TITLE_METADATA_ONLY,classification_status_not_allowed,https://europepmc.org/articles/PMC13306279,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/Trustworthy_Cyber-Physical_Edge-SHM_Architecture_for_Operational_Underground_Tunnel_Crack_Monitoring.pdf
10.1038/s41598-025-34029-9,CAN_F03EBFD2CFA86622E1EE,Optimal selection of a metro tunnel excavation method using AHP and TOPSIS: a case study of Tehran metro,doaj,journal_article,TIER_B,2.2,,0.95,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/Optimal_selection_of_a_metro_tunnel_excavation_method_using_AHP_and_TOPSIS_a_case_study_of_Tehran_me.pdf
10.1038/s41598-025-13041-z,CAN_56E4588D5D0396410528,A hybrid quantitative approach for assessment of geotechnical hazards in rock tunnels using finite element and variation coefficient methods.,europe_pmc,journal_article,TIER_B,2.4.1,,0.92,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/A_hybrid_quantitative_approach_for_assessment_of_geotechnical_hazards_in_rock_tunnels_using_finite_e.pdf
10.1038/s41598-025-18009-7,CAN_4102560C0839149A6B55,Ground settlement induced by NATM tunneling and surface loads in Shiraz metro station.,europe_pmc,journal_article,TIER_B,2.2,2.4.1.1;5.4.1;1.4;2.4,0.6086,TITLE_METADATA_ONLY,classification_status_not_allowed,https://europepmc.org/articles/PMC12464287,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/Ground_settlement_induced_by_NATM_tunneling_and_surface_loads_in_Shiraz_metro_station.pdf
10.1038/s41598-024-79919-6,CAN_E812886BA062E3279B07,A highly efficient tunnel lining crack detection model based on Mini-Unet.,europe_pmc,journal_article,TIER_B,5.4.1,,0.85,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/A_highly_efficient_tunnel_lining_crack_detection_model_based_on_Mini-Unet.pdf
10.1038/s41598-023-42192-0,CAN_DDF396F33B60F1C8B443,Construction practice of water conveyance tunnel among complex geotechnical conditions: a case study.,europe_pmc,journal_article,TIER_B,1.4,2.4;1.4.1;5.9.2;5.4.1,0.3846,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/Construction_practice_of_water_conveyance_tunnel_among_complex_geotechnical_conditions_a_case_study.pdf
10.7494/miag.2023.4.556.29,CAN_D1BEBE0CE56B5147633C,A case study of the TS-26 tunnel – the longest non-urban road tunnel in Poland using NATM technology,crossref,journal_article,TIER_B,2.2,,0.85,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/A_case_study_of_the_TS-26_tunnel_–_the_longest_non-urban_road_tunnel_in_Poland_using_NATM_technology.pdf
10.33271/nvngu/2023-1/088,CAN_02035E891BE18AADE635,Analysis of surface settlements induced by tunnel excavation with EPB-TBM,crossref,journal_article,TIER_B,2.2,1.4;2.4.1.1;2.4;5.9.2,0.7022,TITLE_METADATA_ONLY,classification_status_not_allowed,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/Analysis_of_surface_settlements_induced_by_tunnel_excavation_with_EPB-TBM.pdf
10.36909/jer.18459,CAN_67A951727882BDCD8749,Automatic Crack Detection and Quantification for Tunnel Lining Surface from 3D Terrestrial LiDAR Data,crossref,journal_article,TIER_B,5.4.1,,0.85,TITLE_METADATA_ONLY,insufficient_evidence_level,,/Users/bulsahkecici/Projects/paper-crawler-agent/tunel_makaleleri/pdfs/Automatic_Crack_Detection_and_Quantification_for_Tunnel_Lining_Surface_from_3D_Terrestrial_LiDAR_Dat.pdf
